wavenumber,c1,c2,c3,c4,c5,c6
988,0.62610997,0.395584174,0.672821237,0.550387015,0.657630427,0.572601317
992,0.671325081,0.433275862,0.713929054,0.592421936,0.703344117,0.619998769
996,0.719904573,0.473383107,0.758253586,0.63950505,0.750612273,0.671315252
1000,0.772899391,0.519762671,0.806779249,0.692792376,0.800677482,0.727196471
1004,0.825364925,0.571948073,0.854675674,0.748760165,0.849600008,0.783214383
1008,0.874736347,0.630533679,0.899927824,0.808923099,0.897324783,0.837283294
1012,0.917220285,0.692182551,0.938219261,0.865392721,0.938232904,0.88545132
1016,0.951484154,0.755121123,0.967110019,0.908016399,0.967506297,0.92592495
1020,0.976041681,0.816174092,0.986025488,0.939302893,0.985397518,0.95723318
1024,0.993309406,0.877691108,0.99809382,0.968818223,0.997377411,0.981929084
1028,1,0.932087346,1,0.990453806,1,0.99654124
1032,0.995256182,0.974670432,0.99098615,1,0.991876241,1
1036,0.976833663,0.999437178,0.969160945,0.994127985,0.971268961,0.989294781
1040,0.94359448,1,0.933690234,0.969154152,0.937591431,0.962468287
1044,0.898590827,0.979184565,0.887643663,0.931116584,0.894153554,0.923056334
1048,0.846807056,0.940626034,0.836135036,0.886964867,0.846377326,0.876377074
1052,0.793460909,0.891203311,0.782854202,0.837205443,0.795556955,0.827323119
1056,0.747127417,0.841704785,0.735050232,0.788925124,0.747595918,0.784665576
1060,0.707906251,0.797046062,0.693541236,0.75122652,0.705945265,0.748746797
1064,0.679470083,0.766805913,0.662026797,0.733546732,0.675319852,0.723853908
1068,0.654371495,0.74234361,0.633289238,0.721178764,0.646847706,0.701700073
1072,0.628409435,0.721434651,0.603408181,0.7075093,0.615407671,0.677810158
1076,0.59770843,0.696940002,0.568829551,0.686183045,0.579494309,0.647701957
1080,0.557252726,0.662324803,0.52485035,0.64950055,0.534777702,0.605845871
1084,0.51086581,0.620877389,0.475408277,0.602291031,0.489252552,0.556694928
1088,0.458775057,0.572047872,0.424091595,0.544663985,0.434895469,0.501257778
1092,0.406150226,0.521550818,0.368778666,0.483755074,0.377003192,0.444952779
1096,0.360481709,0.473531259,0.313857708,0.425236927,0.317181066,0.392109068
1100,0.31478018,0.429434295,0.261620718,0.374971389,0.263087982,0.347804294
1104,0.271986878,0.39210437,0.212985437,0.327500302,0.215787339,0.305619157
1108,0.232922767,0.359813718,0.172944546,0.28352504,0.174877543,0.266213649
1112,0.198529872,0.332191343,0.141918947,0.24481474,0.140582319,0.230632352
1116,0.167145112,0.30639313,0.119510028,0.211624264,0.116498894,0.199358105
1120,0.14248329,0.282074421,0.103174291,0.182873403,0.100666187,0.171163565
1124,0.125059387,0.259835121,0.094463773,0.15936984,0.094610467,0.145137342
1128,0.114549864,0.238581848,0.092112687,0.137942975,0.088719039,0.127250866
1132,0.110715236,0.221205016,0.088677159,0.125216301,0.090460053,0.117190977
1136,0.111731714,0.203526935,0.089322798,0.119903964,0.083481205,0.113982274
1140,0.113019737,0.184872308,0.082789064,0.126005326,0.075210259,0.121641404
1144,0.105329806,0.164148393,0.069459775,0.118111806,0.06257815,0.115568785
1148,0.091027325,0.145651621,0.055673701,0.103491317,0.047161248,0.102460832
1152,0.071604599,0.121070969,0.040865442,0.084294838,0.030621218,0.084129696
1156,0.048516769,0.092420685,0.025994317,0.062504963,0.015593701,0.062376168
1160,0.028361613,0.064416083,0.011820528,0.03983056,0.002597694,0.038665183
1164,0.011654849,0.039432448,0.001355875,0.018570691,0.005410716,0.015393176
1168,0.000508443,0.019826411,0.004519734,0.000545333,0.006214146,0.000787132
1172,0.005331937,0.007691376,0.005135886,0.007440429,0,0.006991546
1176,0.005575801,0.000549138,0,0.007127137,0,0.006864003
1180,0,0.004464855,0,0,0,0
1184,0,0.004531629,0,0,0,0
1188,0,0,0,0,0,0
1192,0,0,0,0,0,0
1196,0,0,0,0,0,0
1200,0,0,0,0,0,0
1204,0,0,0,0,0,0
1208,0,0,0,0,0,0
1212,0,0.004427767,0,0,0,0
1216,0.005203635,0.00411538,0.005162672,0,0,0
1220,0.004024475,0.001186389,0.004500832,0,0,0
1224,0.001937479,0.010383244,0.002219564,0.00563394,0,0.005485959
1228,0.01173872,0.022873889,0.012434518,0.004231076,0,0.004134498
1232,0.025052655,0.036464296,0.025853798,0.002524255,0,0.002385012
1236,0.039777186,0.050298895,0.039726852,0.013674301,0,0.013221199
1240,0.053728091,0.061878266,0.053613899,0.032374094,0,0.031677967
1244,0.065318793,0.070373512,0.064663913,0.044822544,0,0.043985923
1248,0.077569047,0.073696245,0.076741811,0.05101965,0,0.050145066
1252,0.077463959,0.0695887,0.076522682,0.050965414,0,0.050155396
1256,0.06500353,0.071245186,0.064006526,0.044659834,0,0.044016914
1260,0.053341391,0.066878235,0.052243433,0.032102911,0,0.031729619
1264,0.039027116,0.05792397,0.039094342,0.013294645,0,0.013293512
1268,0.024501333,0.046464476,0.024899,0.002476385,0,0.002575877
1272,0.012016545,0.03335057,0.012423325,0.004406619,0,0.004334738
1276,0.002083178,0.020770474,0.001964346,0.005459772,0,0.005447232
1280,0.004138005,0.009318619,0.003930679,0,0,0
1284,0.005148749,0.001126975,0.010591189,0,0.006227294,0
1288,0,0.003550431,0.00431334,0,0.005246443,0
1292,0.004798084,0.004192652,0.001984886,0,0.001833543,0.005256011
1296,0.003951967,0.004354992,0.011914371,0.00554978,0.013410876,0.004319272
1300,0.001744845,0.003423531,0.024572443,0.004573904,0.028803521,0.001412432
1304,0.010703988,0.001601085,0.039143932,0.001607556,0.046605513,0.011794086
1308,0.022775921,0.009880914,0.054781236,0.011840149,0.069438972,0.025002944
1312,0.036068919,0.020524197,0.072150831,0.025617044,0.090213455,0.040121316
1316,0.049862844,0.032964149,0.085854131,0.042152784,0.108302566,0.056162297
1320,0.063516761,0.044942577,0.095017384,0.061051363,0.124833757,0.072246088
1324,0.075439254,0.055014954,0.097680227,0.080051768,0.135151294,0.086439068
1328,0.085718085,0.062428898,0.104978083,0.099005403,0.150543407,0.098784875
1332,0.088109515,0.066539629,0.111825785,0.110056424,0.163315053,0.102022767
1336,0.093290552,0.066480438,0.117777861,0.111550205,0.170653908,0.107780598
1340,0.097514049,0.073815342,0.120784142,0.115959504,0.174261438,0.111705455
1344,0.101265342,0.080222269,0.128602067,0.118726622,0.175792374,0.115488842
1348,0.10565074,0.086630314,0.140889523,0.120545565,0.174469783,0.11862086
1352,0.110763578,0.093946885,0.15800532,0.123602387,0.176297081,0.122830054
1356,0.118370739,0.102048363,0.174363079,0.127989274,0.184142149,0.128066919
1360,0.125330473,0.110207425,0.190853981,0.134379451,0.20310959,0.134946818
1364,0.133276902,0.117720014,0.204986013,0.141468779,0.219045628,0.142359328
1368,0.140908031,0.124759128,0.217516772,0.148727916,0.230051663,0.149624918
1372,0.143481403,0.131088801,0.22134734,0.150530256,0.23493179,0.151464271
1376,0.142487042,0.136297353,0.216182173,0.148964015,0.231613457,0.149771775
1380,0.139411708,0.141000056,0.205778796,0.145561979,0.21918109,0.146073762
1384,0.135613077,0.141568968,0.194173738,0.141756902,0.208558788,0.141777815
1388,0.132372092,0.140797553,0.180806305,0.138822851,0.200361007,0.138060414
1392,0.131666176,0.14031221,0.169111295,0.138737783,0.206281038,0.136777531
1396,0.133283884,0.139994425,0.159397531,0.140491772,0.220667595,0.137390825
1400,0.135105284,0.140954916,0.151098021,0.144531211,0.24339408,0.140752454
1404,0.13872959,0.14151391,0.148442578,0.149071056,0.261884592,0.144792599
1408,0.141731624,0.139686366,0.15108917,0.153213391,0.278008237,0.148478688
1412,0.14276867,0.137642422,0.151219243,0.155196241,0.292602685,0.150201368
1416,0.138463153,0.133643565,0.150255127,0.151115873,0.294112678,0.146322871
1420,0.133306841,0.127542073,0.147029887,0.146414576,0.282164941,0.141728645
1424,0.126538189,0.118883506,0.140218975,0.140132603,0.266827622,0.135371927
1428,0.118008295,0.10870317,0.131604926,0.13248922,0.2423853,0.127525697
1432,0.1087075,0.097971149,0.121069008,0.123771659,0.216298878,0.118170172
1436,0.099205422,0.090959364,0.113105542,0.119374915,0.189066576,0.108311888
1440,0.094710474,0.079437571,0.097168719,0.107836362,0.162373379,0.103683654
1444,0.084707315,0.064527843,0.080197617,0.09113698,0.143156728,0.092818144
1448,0.071335406,0.047688867,0.06225561,0.071767055,0.121717071,0.078066111
1452,0.055266763,0.033302412,0.04413546,0.050604494,0.101763494,0.060286171
1456,0.037354988,0.020297168,0.02672062,0.028759577,0.07745085,0.040527669
1460,0.02293874,0.009411697,0.010766748,0.012744684,0.053850295,0.024707685
1464,0.010671783,0.001021242,0.000785779,0.001038452,0.032184504,0.011362141
1468,0.001196351,0.003717421,0.004687648,0.005369606,0.012245027,0.001450032
1472,0.004249091,0.004335026,0.005334715,0.005999792,0.000253044,0.004606696
1476,0.004816933,0,0,0,0.005930379,0.005244345
1480,0,0,0,0,0.006231681,0
1484,0,0,0,0,0,0
1488,0,0,0,0,0,0
1492,0,0,0,0,0,0
1496,0,0,0,0,0.006297746,0
1500,0,0,0,0,0.005352917,0
1504,0,0,0,0,0.000357192,0
1508,0,0,0,0,0.011297575,0
1512,0,0,0.006249119,0,0.030410292,0
1516,0.005398263,0,0.006348389,0.005506435,0.052047274,0
1520,0.005111271,0,0.000953516,0.005715503,0.075705624,0.005968193
1524,5.93E-05,0.004779139,0.012807944,0.000694838,0.097777136,0.005884785
1528,0.011882802,0.004865417,0.029636516,0.012202893,0.124811964,0.000346986
1532,0.026811856,0.000162725,0.054005602,0.028541416,0.153921874,0.013125582
1536,0.045895396,0.009499315,0.078211618,0.04935047,0.179877128,0.029406078
1540,0.065511437,0.022278481,0.10315042,0.071172039,0.216069316,0.051469123
1544,0.081637585,0.040770158,0.130508852,0.094873145,0.257879588,0.075529543
1548,0.103894067,0.061038853,0.156874575,0.119114931,0.304445785,0.101001053
1552,0.12835212,0.085122668,0.175976433,0.140830407,0.351936311,0.12567946
1556,0.152809477,0.112718758,0.20208911,0.158656077,0.394977389,0.148672561
1560,0.188070023,0.142847236,0.233413647,0.18451931,0.437064065,0.168473458
1564,0.228393866,0.172737324,0.26702506,0.214704292,0.476514926,0.19690306
1568,0.274619962,0.211269599,0.305303289,0.251410868,0.521222208,0.230127148
