"Row.names","wavenumber","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","Variable"
"1",608,0.601601129,0.500769512,0.406463852,0.412162475,0.851040209,0.593006,0.548602699,0.585501701,0.812033073,0.652248395,0.574407222,0.580630751,0.519084152,0.502075188,0.471300316,0.524642271,0.381919474,0.505477541,0.476712755,0.862255,0.668056714,0.629756502,0.631141171,0.497866653,0.450224015,0.403726932,0.46889486,0.494348214,0.495315966,0.434710951,0.0954577035675064,0.0449111122578011,0.00496116543039061,-0.0636332262649458,0.145605124198414,-0.0389363876542274,-0.0577390769948301,-0.0102400011746489,-0.0226291314250936,-0.0876153589632618,-0.0349898068819712,0.0156788938424918,0.065102113765375,0.0160599001306369,-0.015153304633663,0.000139707944424556,0.0791982158807573,-0.127397542059805,0.0421022460720519,-0.00969297841136841,0.155535280715939,-0.0473867615026439,0.00469810260372316,-0.0984822979283658,0.0202842399776881,-0.041512504267989,0.000325147294146177,0.0333438437407255,-0.0767622674922479,-0.00792652134520705,"608"
"10",644,0.487017108,0.395158429,0.326008466,0.302260219,0.619024693,0.4375311,0.38719554,0.463254599,0.626386356,0.497134967,0.454748359,0.466676401,0.374758371,0.352383243,0.357084784,0.420726014,0.285166443,0.379409436,0.3480131,0.684608136,0.493722693,0.428674602,0.509401115,0.384194982,0.321505023,0.306771241,0.348960543,0.381054365,0.354196834,0.313331437,0.0901912568688044,0.0646537585325668,0.00914797497156823,-0.0643176304117376,0.0932956555378436,-0.0376285343051245,-0.0790580664007689,-0.0339691290236382,-0.0388986880288686,-0.0708181049116482,-0.0030957378556838,0.0368615499373997,0.0117613863124201,0.00149232697385589,-0.000250601309380424,-0.0233208579298946,0.041832571984234,0.000806874269886022,-0.0273668783498876,0.0758798397744735,0.0789580910516443,0.00187346221212856,-0.0535155182694957,0.0751730272873885,0.0378172509500274,0.133168210767787,0.0149853061365536,0.0962249983824228,0.0130648737774431,-0.0723735217724865,"644"
"100",1340,0.123820553,0.126865716,0.070289026,0.097514049,0.228033344,0.063129933,0.068860796,0.095967805,0.21169411,0.170036769,0.073815342,0.072767778,0.120784142,0.108468347,0.115959504,0.11041157,0.083709619,0.082791801,0.124203704,0.118878285,0.174261438,0.152224444,0.080419706,0.077343953,0.119817915,0.111705455,0.107735307,0.11087912,0.122106928,0.106802406,0.090048860729118,-0.0443359525515931,-0.089998012150078,-0.0379792735395293,-0.0474264450250074,-0.101032951676059,0.0463591065944706,-0.0546383588049541,-0.103070471436433,-0.0682113830978266,0.0799874952769562,-0.0836566820496122,0.0163715244198064,0.0431353849477832,-0.128798266391531,-0.0544768635337995,0.0265912679571267,0.12687394736528,-0.111854480568889,0.0257935169209698,-0.0269390918203332,-0.00924098524193472,0.102116223101036,-0.0187072151267713,-0.00417456895742256,-0.137141844940276,-0.0220193748645739,0.0507348705210669,-0.0217137039295272,-0.0235187222201967,"1340"
"101",1344,0.135562516,0.139698629,0.080367742,0.101265342,0.231279635,0.06985466,0.074820196,0.102240067,0.214926024,0.172500442,0.080222269,0.080329768,0.128602067,0.112774142,0.118726622,0.122339789,0.095685279,0.094065477,0.132088464,0.123587837,0.175792374,0.152389213,0.088209741,0.083245908,0.127499115,0.115488842,0.111380699,0.122221549,0.130121178,0.109565242,0.0886060010927704,-0.0435644970118883,-0.0921346152656888,-0.0473880236035991,-0.0631051468973599,-0.0897893099421301,0.0168719548573437,-0.0603724429651345,-0.139710181926879,-0.077707407919398,0.118634664459742,-0.0642696708798953,0.00276814938387482,0.0176018403912766,-0.112551345265944,-0.0421681425296487,-3.242539002955e-05,0.14427202555492,-0.0898866025734717,0.0367486506836988,-0.0426616535882354,-0.0416133496631034,0.14443513724858,-0.0378807765594531,-0.0406454650812253,-0.187319040266623,-0.036993815980136,0.104068221587361,-0.0695538888760437,-0.00300121152971739,"1344"
"102",1348,0.14842205,0.15224171,0.090877775,0.10565074,0.229933412,0.078906072,0.081259885,0.108112415,0.209220046,0.168745643,0.086630314,0.087332039,0.140889523,0.113443649,0.120545565,0.135647614,0.107739604,0.105489883,0.139350413,0.125369546,0.174469783,0.150142329,0.095887855,0.089939825,0.13384063,0.11862086,0.114845547,0.133480744,0.136759884,0.109949922,0.0850487592708737,-0.0437624078928698,-0.0953553915994267,-0.0583849750326339,-0.0833795019874393,-0.0730917868085345,-0.0318165394934246,-0.0662272275219622,-0.202015770951507,-0.0808067192112044,0.144315077603747,-0.00596494577226475,-0.0197549435688169,0.00407478881286254,-0.100193280467966,-0.0127488487349473,-0.0143263782550934,0.121178444824357,-0.0279283711852586,0.0511942730064154,-0.0730082833731631,-0.0666955860925059,0.153280847651043,-0.0534073367015362,-0.102265778978591,-0.185707643943913,-0.0861941119288434,0.0738491079605879,-0.0505642526607801,-0.0133051466933056,"1348"
"103",1352,0.161831655,0.165520178,0.102140939,0.110763578,0.229442058,0.090994505,0.087969862,0.111339211,0.209405359,0.16244524,0.093946885,0.094796272,0.15800532,0.120519225,0.123602387,0.154169176,0.119914216,0.117822978,0.14831632,0.12872131,0.176297081,0.154675943,0.104223713,0.097006486,0.141005851,0.122830054,0.120074008,0.14884596,0.144043785,0.120101513,0.0802356910876731,-0.046500230086793,-0.095764510527461,-0.0673475725487974,-0.105167752644777,-0.0292498069621229,-0.0841899770079411,-0.0605511230564724,-0.252747114852551,-0.0779740768388189,0.157472903600678,0.0259750896173141,-0.0691716620236961,-0.0479347478050745,-0.0888290878814565,0.00759635107076349,-0.0694326616440274,0.0516788645108655,0.0943124471162045,-0.059270825212877,-0.0693600163524867,-0.0641570135556402,0.102100112898777,-0.047553052859464,-0.102123380978062,-0.0272067902751881,-0.0443568640398881,-0.0602891298536349,-0.0412821878586118,-0.0296040208480271,"1352"
"104",1356,0.175238583,0.178193476,0.112941188,0.118370739,0.231546426,0.103930814,0.095143453,0.118638367,0.2160383,0.155227429,0.102048363,0.102682272,0.174363079,0.132748393,0.127989274,0.167473552,0.129852963,0.127895615,0.154012539,0.134667675,0.184142149,0.160302069,0.112363558,0.10494122,0.149097976,0.128066919,0.126626135,0.158934091,0.152290031,0.131553486,0.0771833725201146,-0.0483252648948344,-0.0947743233947041,-0.0710856215894916,-0.118817596017556,0.0235586701200468,-0.134361222963899,-0.0539863995656773,-0.252680258749692,-0.0526468258277564,0.131619343070346,0.0329086607715397,-0.0997296164516066,-0.0736080207680884,-0.0682078340114392,0.0393171930187409,-0.11623160697491,0.00840251379223098,0.187624387309819,-0.116591275138437,-0.0459631631804337,-0.100918830649293,0.0445855385068344,-0.0278624646418227,-0.104670254380117,0.0915070906443334,-0.0596015822528363,-0.069814833995483,0.108570212214059,-0.0329865074917545,"1356"
"105",1360,0.188196155,0.189589667,0.121708952,0.125330473,0.22880827,0.117801583,0.102575415,0.13223579,0.230827555,0.15461814,0.110207425,0.111290504,0.190853981,0.153437528,0.134379451,0.176030751,0.137262487,0.135450937,0.15903875,0.142446133,0.20310959,0.168881576,0.1214105,0.113220039,0.154121088,0.134946818,0.134780934,0.164321733,0.157704403,0.144910196,0.0775226068540094,-0.0474866369966056,-0.0944823613869408,-0.0701906210930334,-0.136348727671164,0.0904138162222503,-0.157883826978648,-0.0300932426185412,-0.183679086818143,-0.02943409198418,0.052660328544966,0.0208531396502997,-0.0615690238207466,-0.0585973048966165,-0.0823460657669073,0.0468510168299347,-0.175380987571966,-0.0170259407377348,0.211163560555466,-0.135376562969495,-0.0358067118490163,-0.0434397979695469,-0.00346207123775626,-0.00346871708878337,-0.0289339007866409,0.115516010375183,0.0190742174960823,-0.0173481318016369,0.0328524978448333,0.0249119180911764,"1360"
"106",1364,0.198320024,0.201464816,0.128463765,0.133276902,0.221739291,0.132333996,0.10991105,0.151809549,0.251108095,0.155848908,0.117720014,0.119346349,0.204986013,0.172105742,0.141468779,0.179043786,0.141901617,0.140757561,0.159811085,0.149575571,0.219045628,0.176599325,0.129797927,0.121280084,0.154738745,0.142359328,0.144086034,0.164153353,0.158565172,0.153284194,0.0781083233396069,-0.0416714632939123,-0.0948102775007207,-0.0713956837491821,-0.155391613552014,0.149699665945645,-0.167761407555651,-0.00477939204371697,-0.0677127343870878,0.0107498759768649,-0.0253154535353438,0.00817572582739119,-0.0169608698286144,-0.0176296172998758,-0.124188712225002,0.0289357800809793,-0.149054331848188,-0.0816167703623087,0.182225967217873,-0.0588275001421487,0.0202765422123736,0.0322944412802518,-0.0550204156209743,0.0348738101104902,-0.0214174473740245,0.00760568496741544,0.0846796894540804,0.0260951489369604,-0.0971413146062058,0.0618101539856406,"1364"
"107",1368,0.20393508,0.203008306,0.127908798,0.140908031,0.219279186,0.139227593,0.116726945,0.167598796,0.262161141,0.157441709,0.124759128,0.126674962,0.217516772,0.182183191,0.148727916,0.175971673,0.14213104,0.141928356,0.159836927,0.15160513,0.230051663,0.181551156,0.137484066,0.128646339,0.154953226,0.149624918,0.148687662,0.157941229,0.158781069,0.157368978,0.0783577131227967,-0.0365748646134567,-0.100328805464785,-0.0608208103776271,-0.147624847127112,0.176275289097845,-0.167103007518333,-2.09786639422894e-05,0.0163053094447143,0.0532911398600694,-0.097622782662185,0.0279618800734158,0.0356093683744417,0.0674478429832573,-0.166307193541506,0.000960354951663814,-0.102058294141372,-0.141548413415147,0.09998272556194,0.00564373790509276,0.0435786832880342,0.0658015196236618,-0.0771196473875867,0.0154223083662092,-0.0205444511082074,0.0152895551082588,0.0255459222748459,-0.0651337297682826,-0.161882197187601,0.0732321179370793,"1368"
