wavenumber,c1,c2,c3,c4,c5,c6
988,0.687703456,0.572601317,0.592099593,0.515577218,0.697772815,0.658764699
992,0.729362636,0.619998769,0.635972665,0.56531516,0.734339733,0.704025812
996,0.773591246,0.671315252,0.684296654,0.621349286,0.774093907,0.751977879
1000,0.821079584,0.727196471,0.738107682,0.68465074,0.817618789,0.802781271
1004,0.867147746,0.783214383,0.792324725,0.749221482,0.861261295,0.852060412
1008,0.910019042,0.837283294,0.84286155,0.80916119,0.907933953,0.898631699
1012,0.945808927,0.88545132,0.887482219,0.862013934,0.949192945,0.938023028
1016,0.971882781,0.92592495,0.927729471,0.910649938,0.972988757,0.966929122
1020,0.988075641,0.95723318,0.960294149,0.950793605,0.984095063,0.985195386
1024,0.998583792,0.981929084,0.984364651,0.979743822,0.995395217,0.997420048
1028,1,0.99654124,0.997533006,0.995786662,1,1
1032,0.991149535,1,1,1,0.992946491,0.991673561
1036,0.970097491,0.989294781,0.988890098,0.989237033,0.971390944,0.970131097
1040,0.935850054,0.962468287,0.962981393,0.962578447,0.931534699,0.933914501
1044,0.891636608,0.923056334,0.923990066,0.921311347,0.881142589,0.88724544
1048,0.842456557,0.876377074,0.875736674,0.86943968,0.828311058,0.836033657
1052,0.791654588,0.827323119,0.825411879,0.816229881,0.771548342,0.783305814
1056,0.746345578,0.784665576,0.782803482,0.772943791,0.716382843,0.736338618
1060,0.707965456,0.748746797,0.74485916,0.734321184,0.674313306,0.697102579
1064,0.680350894,0.723853908,0.714021487,0.7020071,0.655123406,0.669999644
1068,0.655262198,0.701700073,0.68520429,0.671830242,0.642394346,0.645919242
1072,0.628249141,0.677810158,0.655553118,0.641012254,0.62822542,0.619768574
1076,0.59581276,0.647701957,0.620995052,0.605549275,0.606772128,0.587651278
1080,0.553204555,0.605845871,0.577006358,0.560977294,0.569872013,0.544067132
1084,0.504342204,0.556694928,0.527020592,0.511041432,0.52303834,0.493814996
1088,0.44966307,0.501257778,0.471476116,0.456318399,0.46993809,0.437998086
1092,0.397853541,0.444952779,0.415514785,0.401779907,0.409622064,0.380637479
1096,0.345062755,0.392109068,0.366643309,0.350391462,0.348644336,0.328808751
1100,0.293490527,0.347804294,0.317725324,0.304927956,0.289822488,0.283350082
1104,0.246062647,0.305619157,0.271882157,0.266916385,0.2354165,0.245865707
1108,0.201812152,0.266213649,0.23020515,0.236106953,0.190744998,0.217737533
1112,0.166504551,0.230632352,0.191571384,0.21227711,0.156727823,0.193610626
1116,0.140016501,0.199358105,0.161514104,0.194585317,0.132849935,0.173258163
1120,0.120640515,0.171163565,0.138165757,0.180466893,0.117188492,0.15476854
1124,0.108726201,0.145137342,0.122044482,0.17172704,0.109668579,0.138839681
1128,0.103921394,0.127250866,0.112410757,0.163095043,0.108456438,0.125070397
1132,0.104895134,0.117190977,0.108192046,0.154317998,0.105286475,0.111875766
1136,0.106677788,0.113982274,0.110194285,0.144308199,0.106145192,0.102273473
1140,0.100134688,0.121641404,0.110940753,0.133511224,0.098144219,0.097616932
1144,0.085943032,0.115568785,0.102415674,0.123956149,0.081906499,0.087813644
1148,0.066241186,0.102460832,0.086934991,0.107272816,0.064957326,0.076102868
1152,0.047411529,0.084129696,0.065873738,0.086350858,0.046963852,0.059395374
1156,0.029121632,0.062376168,0.046289472,0.063858231,0.029428639,0.041703522
1160,0.012815156,0.038665183,0.027452216,0.042265823,0.013668668,0.024568513
1164,0.000826446,0.015393176,0.011624831,0.024843738,0.001616989,0.010266861
1168,0.005023571,0.000787132,0.000573987,0.009875176,0.005244647,0.000643167
1172,0.005791055,0.006991546,0.005761602,0.000333481,0.005934599,0.004970844
1176,0,0.006864003,0.005074227,0.004874721,0,0.004661401
1180,0,0,0,0.004829268,0,0
1184,0,0,0,0,0,0
1188,0,0,0,0,0,0
1192,0,0,0,0,0,0
1196,0,0,0,0,0,0
1200,0,0,0,0,0,0
1204,0,0,0,0,0,0
1208,0,0,0,0,0,0
1212,0,0,0,0,0,0
1216,0,0,0.004928922,0.004103467,0,0
1220,0.005696976,0,0.004234058,0.003775777,0.006047012,0.005084827
1224,0.004155236,0.005485959,0.002153556,0.001005212,0.004417662,0.003769122
1228,0.002317878,0.004134498,0.011860221,0.009933813,0.002532818,0.002046944
1232,0.013494827,0.002385012,0.024068144,0.021020621,0.014528285,0.012115368
1236,0.026769275,0.013221199,0.037953547,0.033738849,0.028730084,0.024578679
1240,0.041885372,0.031677967,0.051028467,0.046285966,0.049632669,0.037562091
1244,0.060922042,0.043985923,0.066832239,0.057382586,0.062152525,0.053977269
1248,0.070390783,0.050145066,0.072255955,0.064566841,0.06628965,0.06198952
1252,0.070291595,0.050155396,0.067299613,0.070240166,0.062044046,0.061598847
1256,0.060624478,0.044016914,0.051963216,0.063864515,0.049415712,0.052805247
1260,0.041389433,0.031729619,0.038705981,0.05581254,0.028404647,0.035608723
1264,0.026987149,0.013293512,0.025326476,0.044885462,0.014296356,0.022862585
1268,0.013006138,0.002575877,0.0122268,0.032752513,0.002426292,0.010781978
1272,0.002277751,0.004334738,0.001950119,0.020178986,0.00440219,0.00179125
1276,0.004704254,0.005447232,0.003970977,0.009445796,0.005967105,0.003697197
1280,0.00533611,0,0.005185942,0.001203135,0,0.004681856
1284,0,0,0,0.007351093,0,0.004365692
1288,0,0,0.005253197,0.007451361,0,0.003606562
1292,0.006073843,0.005256011,0.004130249,0.000919716,0.006172741,0.000920232
1296,0.005001773,0.004319272,0.002037531,0.009122534,0.005038975,0.009690432
1300,0.002012548,0.001412432,0.011585768,0.019076222,0.002206354,0.021328185
1304,0.013299673,0.011794086,0.024439626,0.030759538,0.013530531,0.034012491
1308,0.028191801,0.025002944,0.03869156,0.042785406,0.02837868,0.047227998
1312,0.045815165,0.040121316,0.053602186,0.054387431,0.045941668,0.060230086
1316,0.066789543,0.056162297,0.06793614,0.06458867,0.066936783,0.07192749
1320,0.085403736,0.072246088,0.080282093,0.072483921,0.085972431,0.083647743
1324,0.099949082,0.086439068,0.091160457,0.076301738,0.101091223,0.08823382
1328,0.10837471,0.098784875,0.093723781,0.082531546,0.109768286,0.094812854
1332,0.108819881,0.102022767,0.099800285,0.090661682,0.110292793,0.099527799
1336,0.114444367,0.107780598,0.104370271,0.100717057,0.116285921,0.1036653
1340,0.119817915,0.111705455,0.107735307,0.11087912,0.122106928,0.106802406
1344,0.127499115,0.115488842,0.111380699,0.122221549,0.130121178,0.109565242
1348,0.13384063,0.11862086,0.114845547,0.133480744,0.136759884,0.109949922
1352,0.141005851,0.122830054,0.120074008,0.14884596,0.144043785,0.120101513
1356,0.149097976,0.128066919,0.126626135,0.158934091,0.152290031,0.131553486
1360,0.154121088,0.134946818,0.134780934,0.164321733,0.157704403,0.144910196
1364,0.154738745,0.142359328,0.144086034,0.164153353,0.158565172,0.153284194
1368,0.154953226,0.149624918,0.148687662,0.157941229,0.158781069,0.157368978
1372,0.154871284,0.151464271,0.150634981,0.150112853,0.158820984,0.157346865
1376,0.15412108,0.149771775,0.149497035,0.139530114,0.15850261,0.152834597
1380,0.154271097,0.146073762,0.146459898,0.128754618,0.159233485,0.145605896
1384,0.15905229,0.141777815,0.142732333,0.120171714,0.164622277,0.137340375
1388,0.159593053,0.138060414,0.139556667,0.115849008,0.165574696,0.129191497
1392,0.160396785,0.136777531,0.138998118,0.118508919,0.166555524,0.131375154
1396,0.157984861,0.137390825,0.139954333,0.119301812,0.166450261,0.132346972
1400,0.157407369,0.140752454,0.142541395,0.122459733,0.163354532,0.135827515
1404,0.155923455,0.144792599,0.145012094,0.126228617,0.16001016,0.139651797
1408,0.157343649,0.148478688,0.146602058,0.129793052,0.160140286,0.142575634
1412,0.158084103,0.150201368,0.143851082,0.131648362,0.160047512,0.143314563
1416,0.156701686,0.146322871,0.140081071,0.128371069,0.158220308,0.138495259
1420,0.151656549,0.141728645,0.135088765,0.124645166,0.15307721,0.133016347
1424,0.147279237,0.135371927,0.128578655,0.119674102,0.148771255,0.12616682
1428,0.138413764,0.127525697,0.120293859,0.113191175,0.140401441,0.117631098
1432,0.126900609,0.118170172,0.111130672,0.105948839,0.130053294,0.108989459
1436,0.117014603,0.108311888,0.105777654,0.097688622,0.122420505,0.099021486
1440,0.10314755,0.103683654,0.094237244,0.089925362,0.105966446,0.094584549
1444,0.085433742,0.092818144,0.07830692,0.085323656,0.087861831,0.084595766
1448,0.066467205,0.078066111,0.060006311,0.075966669,0.068449945,0.071137775
1452,0.047146192,0.060286171,0.039853425,0.062592343,0.04867513,0.054971782
1456,0.028582948,0.040527669,0.023763371,0.046174697,0.029630079,0.036988517
1460,0.011424323,0.024707685,0.010671069,0.032286941,0.012038584,0.022703446
1464,0.00066088,0.011362141,0.001210238,0.0196178,0.0008064,0.010605234
1468,0.00504995,0.001450032,0.004400056,0.008802733,0.005221127,0.001312618
1472,0.005602521,0.004606696,0.005122825,0.000859715,0.005843494,0.003790304
1476,0,0.005244345,0,0.003793058,0,0.005035597
1480,0,0,0,0.003998004,0,0
1484,0,0,0,0,0,0
1488,0,0,0,0,0,0
1492,0,0,0,0,0,0
1496,0,0,0,0,0,0
1500,0,0,0,0,0,0
1504,0,0,0,0,0,0
1508,0,0,0,0,0,0
1512,0,0,0,0,0.005843709,0.004826326
1516,0.00629798,0,0.004913383,0.004303608,0.00566174,0.004925034
1520,0.006634923,0.005968193,0.004898551,0.003970478,0.000706453,0.000218973
1524,0.000891293,0.005884785,2.61E-05,0.00014778,0.011807054,0.008966638
1528,0.012898825,0.000346986,0.009020566,0.007803976,0.028558577,0.024835455
1532,0.030129808,0.013125582,0.024707181,0.02130754,0.052553241,0.043125447
1536,0.05381068,0.029406078,0.038733369,0.035677253,0.076244243,0.059429347
1540,0.079152957,0.051469123,0.059377302,0.049281181,0.100780197,0.081855106
1544,0.108678336,0.075529543,0.088306832,0.069751304,0.127683012,0.110722272
1548,0.139721894,0.101001053,0.121985981,0.094924659,0.15417667,0.141362612
1552,0.167031792,0.12567946,0.154319138,0.120844689,0.175148373,0.168904055
1556,0.188912776,0.148672561,0.183460787,0.145805718,0.203354807,0.202654243
1560,0.220219664,0.168473458,0.219831403,0.178498587,0.235647759,0.239220927
1564,0.256491169,0.19690306,0.257896465,0.213681649,0.273565378,0.277293076
1568,0.295264396,0.230127148,0.296892479,0.251485192,0.314359377,0.317392354
1572,0.336699865,0.267806378,0.335217633,0.290280005,0.357956258,0.352426675
1576,0.380708273,0.305635795,0.367520766,0.324809938,0.397714829,0.382882956
1580,0.420792724,0.34426649,0.401899819,0.354858661,0.435135533,0.415314683
1584,0.45994825,0.378634522,0.435842198,0.386505083,0.470354747,0.446486216
1588,0.491565055,0.406738436,0.463018215,0.412397743,0.497533837,0.470484559
1592,0.512042294,0.426408237,0.480088781,0.429960239,0.513640511,0.485595341
1596,0.522848903,0.437634975,0.488805691,0.439712443,0.520111107,0.492492272
1600,0.526243752,0.441124388,0.490721421,0.442409932,0.518764849,0.492312932
1604,0.521888109,0.437273752,0.485429866,0.438346775,0.50946266,0.485242775
1608,0.51164646,0.427945324,0.474500617,0.429253054,0.494108804,0.473109518
