wavenumber,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
879,0.00176,0.00376,0.01283,0.00931,0.00673,0.01109,0.00316,0.00087,0.02635,0.00552,0.00153,0.00078,0.00602,0.01406,0.00441,0.00311,0.02025,0.00482,0.00607,0.01072,0.01413,0.01634,0.00078,0.00437,0.00679,0.00565,0.00401,0.00564,0.00552,0.00929
887,0.00303,0.00593,0.01777,0.01356,0.00752,0.0155,0.0052,0.0022,0.02962,0.00914,0.00239,0.00151,0.00814,0.01571,0.00647,0.00497,0.02844,0.00646,0.00832,0.01247,0.0165,0.02001,0.00141,0.0071,0.00921,0.00855,0.00572,0.00857,0.00728,0.01314
895,0.00486,0.00899,0.01905,0.01993,0.00886,0.01589,0.00919,0.00447,0.03435,0.01376,0.00469,0.00363,0.01083,0.01867,0.00984,0.00745,0.0307,0.00684,0.01203,0.01435,0.01902,0.02395,0.0029,0.01196,0.01258,0.01311,0.00822,0.0137,0.01022,0.01809
903,0.00535,0.00955,0.01774,0.02161,0.0091,0.0145,0.00941,0.0044,0.03488,0.01451,0.0047,0.00334,0.01181,0.01942,0.01072,0.00787,0.02863,0.00632,0.01304,0.01443,0.01927,0.02465,0.00281,0.01235,0.0138,0.0137,0.009,0.01446,0.01119,0.01955
910,0.00504,0.00955,0.01738,0.02228,0.00896,0.01369,0.00777,0.0035,0.03381,0.0143,0.00298,0.00153,0.01243,0.01976,0.01059,0.00786,0.02812,0.00626,0.01371,0.014,0.01886,0.02469,0.0015,0.01092,0.01477,0.01332,0.00938,0.01389,0.01194,0.02052
918,0.00536,0.01048,0.01992,0.02518,0.00936,0.01506,0.00929,0.00362,0.03336,0.0151,0.00325,0.00151,0.0143,0.02139,0.0117,0.00821,0.03227,0.00704,0.01598,0.01475,0.01962,0.02591,0.00136,0.01321,0.01722,0.01488,0.01071,0.01542,0.01384,0.02334
926,0.00593,0.01207,0.02165,0.02899,0.0099,0.0166,0.01297,0.00451,0.03352,0.01619,0.00486,0.00296,0.01699,0.02332,0.01376,0.00896,0.03597,0.00781,0.01853,0.01562,0.02092,0.02779,0.00247,0.01796,0.02022,0.01789,0.01284,0.01804,0.01628,0.02746
933,0.00792,0.01597,0.02273,0.03631,0.01145,0.01783,0.01851,0.00683,0.03751,0.02053,0.00772,0.00556,0.0212,0.02719,0.01802,0.01119,0.03918,0.00809,0.02318,0.01736,0.02409,0.03189,0.00405,0.02581,0.0256,0.02372,0.0165,0.02408,0.02059,0.03463
941,0.01364,0.02441,0.02655,0.05188,0.01445,0.02118,0.02833,0.01282,0.0493,0.03099,0.01325,0.0109,0.02875,0.03448,0.02759,0.01704,0.04746,0.00953,0.03279,0.02126,0.03081,0.04013,0.00755,0.03948,0.03536,0.03689,0.02373,0.03876,0.02826,0.04811
949,0.02168,0.03546,0.03301,0.07136,0.01794,0.02655,0.04113,0.02096,0.06494,0.04485,0.02084,0.01804,0.03719,0.04337,0.03974,0.02483,0.06001,0.01179,0.04424,0.02703,0.03937,0.05122,0.01235,0.05708,0.04654,0.05398,0.03225,0.05915,0.0369,0.06408
