wavenumber,intensity
600.2353,0.1366942
600.7174,0.1364901
601.1995,0.1362963
601.6816,0.1361328
602.1638,0.135988
602.6459,0.1358305
603.128,0.1356329
603.6101,0.1353892
604.0922,0.1351202
604.5743,0.1348609
605.0565,0.1346421
605.5386,0.1344741
606.0207,0.1343425
606.5028,0.1342187
606.9849,0.134078
607.467,0.1339156
607.9492,0.1337491
608.4313,0.1336083
608.9134,0.133515
609.3955,0.1334716
609.8776,0.1334555
610.3597,0.133433
610.8419,0.1333734
611.324,0.1332668
611.8061,0.1331266
612.2882,0.132981
612.7703,0.1328555
613.2524,0.1327589
613.7346,0.1326798
614.2167,0.1325952
614.6988,0.1324853
615.1809,0.1323459
615.663,0.1321921
616.1451,0.1320503
616.6273,0.131943
617.1094,0.131875
617.5915,0.1318298
618.0736,0.1317772
618.5557,0.1316907
619.0378,0.1315584
619.52,0.1313891
620.0021,0.1312038
620.4842,0.1310255
620.9663,0.1308655
621.4484,0.1307216
621.9305,0.1305831
622.4127,0.1304418
622.8948,0.1302991
623.3769,0.1301669
623.859,0.1300587
624.3411,0.1299806
624.8232,0.1299235
625.3054,0.1298671
625.7875,0.1297881
626.2696,0.1296744
626.7517,0.1295315
627.2338,0.1293796
627.7159,0.1292414
628.1981,0.1291274
628.6802,0.1290295
629.1623,0.1289236
629.6444,0.1287842
630.1265,0.1285968
630.6086,0.1283691
631.0908,0.1281262
631.5729,0.1279
632.055,0.12771
632.5371,0.1275538
633.0192,0.1274067
633.5013,0.1272368
633.9835,0.1270197
634.4656,0.1267531
634.9477,0.1264569
635.4298,0.1261645
635.9119,0.1259056
636.394,0.1256915
636.8762,0.1255142
637.3583,0.1253532
637.8404,0.1251905
638.3225,0.1250184
638.8046,0.1248428
639.2867,0.1246741
639.7689,0.1245169
640.251,0.1243618
640.7331,0.1241882
641.2152,0.1239735
641.6973,0.1237084
642.1794,0.1234045
642.6616,0.1230931
643.1437,0.1228096
643.6258,0.1225786
644.1079,0.1224018
644.59,0.1222576
645.0721,0.1221109
645.5543,0.1219314
646.0364,0.1217086
646.5185,0.1214542
647.0006,0.1211959
647.4827,0.1209603
647.9648,0.1207627
648.447,0.1205994
648.9291,0.1204546
649.4112,0.1203094
649.8933,0.1201551
