wavenumber,intensity
600.2353,0.1462296
600.7174,0.1460437
601.1995,0.1458617
601.6816,0.1456958
602.1638,0.1455369
602.6459,0.1453633
603.128,0.1451586
603.6101,0.1449239
604.0922,0.1446793
604.5743,0.1444525
605.0565,0.1442629
605.5386,0.1441092
606.0207,0.14397
606.5028,0.1438148
606.9849,0.143622
607.467,0.1433926
607.9492,0.1431512
608.4313,0.1429341
608.9134,0.1427693
609.3955,0.1426653
609.8776,0.1426069
610.3597,0.142567
610.8419,0.1425195
611.324,0.1424543
611.8061,0.1423783
612.2882,0.1423075
612.7703,0.1422521
613.2524,0.1422069
613.7346,0.142151
614.2167,0.14206
614.6988,0.141919
615.1809,0.1417338
615.663,0.1415286
616.1451,0.1413357
616.6273,0.1411775
617.1094,0.1410547
617.5915,0.1409458
618.0736,0.14082
618.5557,0.1406566
619.0378,0.1404552
619.52,0.140238
620.0021,0.1400346
620.4842,0.1398694
620.9663,0.1397455
621.4484,0.1396457
621.9305,0.1395411
622.4127,0.139409
622.8948,0.139244
623.3769,0.1390604
623.859,0.1388817
624.3411,0.1387266
624.8232,0.1385965
625.3054,0.1384747
625.7875,0.1383346
626.2696,0.1381557
626.7517,0.1379362
627.2338,0.1376938
627.7159,0.1374564
628.1981,0.137246
628.6802,0.1370699
629.1623,0.136917
629.6444,0.1367677
630.1265,0.1366054
630.6086,0.1364275
631.0908,0.136246
631.5729,0.1360795
632.055,0.1359391
632.5371,0.1358194
633.0192,0.1356967
633.5013,0.1355409
633.9835,0.1353285
634.4656,0.1350546
634.9477,0.1347353
635.4298,0.1344003
635.9119,0.1340785
636.394,0.133785
636.8762,0.1335192
637.3583,0.1332706
637.8404,0.1330297
638.3225,0.1327966
638.8046,0.1325819
639.2867,0.1323989
639.7689,0.1322539
640.251,0.1321378
640.7331,0.1320284
641.2152,0.1318973
641.6973,0.1317258
642.1794,0.1315118
642.6616,0.131271
643.1437,0.131026
643.6258,0.1307949
644.1079,0.1305812
644.59,0.1303729
645.0721,0.1301508
645.5543,0.1299009
646.0364,0.1296247
646.5185,0.1293406
647.0006,0.1290758
647.4827,0.1288524
647.9648,0.1286794
648.447,0.1285474
648.9291,0.1284361
649.4112,0.1283226
649.8933,0.1281926
650.3754,0.1280429
650.8575,0.1278768
651.3397,0.1276962
651.8218,0.1274974
652.3039,0.1272713
652.786,0.1270111
653.2681,0.12672
653.7502,0.1264157
654.2324,0.1261239
654.7145,0.1258705
655.1966,0.1256681
655.6787,0.1255107
656.1608,0.1253753
656.6429,0.1252335
657.1251,0.1250664
657.6072,0.1248708
658.0893,0.1246602
658.5714,0.1244553
659.0535,0.1242734
659.5356,0.1241191
660.0178,0.1239852
660.4999,0.123859
660.982,0.1237327
661.4641,0.1236086
661.9462,0.123496
662.4283,0.1234022
662.9105,0.1233234
663.3926,0.123241
663.8747,0.1231294
664.3568,0.1229657
664.8389,0.1227425
665.321,0.1224704
665.8032,0.1221792
666.2853,0.1219097
666.7674,0.121701
667.2495,0.1215763
667.7316,0.1215199
668.2137,0.1214766
668.6959,0.1213793
669.178,0.1212035
669.6601,0.1209737
670.1422,0.1207334
670.6243,0.1205138
671.1064,0.1203269
671.5886,0.1201681
672.0707,0.1200251
672.5528,0.1198858
673.0349,0.1197459
673.517,0.1196092
673.9991,0.1194831
674.4813,0.1193704
674.9634,0.1192628
675.4455,0.1191411
675.9276,0.1189829
676.4097,0.1187748
676.8918,0.1185186
677.374,0.1182324
677.8561,0.1179413
678.3382,0.1176674
678.8203,0.1174191
679.3024,0.1171915
679.7845,0.1169731
680.2667,0.1167564
680.7488,0.1165452
681.2309,0.1163549
681.713,0.1162025
682.1951,0.1160973
682.6772,0.1160313
683.1594,0.1159816
683.6415,0.1159165
684.1236,0.1158096
684.6057,0.1156515
685.0878,0.1154514
685.5699,0.115232
686.0521,0.1150155
686.5342,0.114816
687.0163,0.1146331
687.4984,0.1144568
687.9805,0.1142749
688.4626,0.114082
688.9448,0.1138825
689.4269,0.113687
689.909,0.1135045
690.3911,0.1133368
690.8732,0.1131767
691.3553,0.1130128
691.8375,0.1128365
692.3196,0.1126468
692.8017,0.1124514
693.2838,0.1122616
693.7659,0.112085
694.248,0.1119207
694.7302,0.1117593
695.2123,0.1115884
695.6944,0.1114003
696.1765,0.1111966
696.6586,0.1109882
697.1407,0.1107884
697.6229,0.1106064
698.105,0.1104413
698.5871,0.1102829
699.0692,0.1101169
699.5513,0.1099337
700.0334,0.1097334
700.5156,0.1095256
700.9977,0.1093228
701.4798,0.1091343
701.9619,0.1089597
702.444,0.1087901
702.9261,0.1086125
703.4083,0.108418
703.8904,0.1082069
704.3725,0.1079885
704.8546,0.1077755
705.3367,0.1075759
705.8188,0.1073888
706.301,0.1072045
706.7831,0.107011
707.2652,0.1068009
707.7473,0.1065773
708.2294,0.1063528
708.7115,0.1061446
709.1937,0.1059642
709.6758,0.1058132
710.1579,0.1056813
710.64,0.105553
711.1221,0.1054137
711.6042,0.1052567
712.0864,0.1050847
712.5685,0.1049068
713.0506,0.1047316
713.5327,0.1045623
714.0148,0.1043955
714.4969,0.1042244
714.9791,0.1040435
715.4612,0.1038525
715.9433,0.1036563
716.4254,0.103461
716.9075,0.1032696
717.3896,0.1030792
717.8718,0.1028827
718.3539,0.1026728
718.836,0.1024489
719.3181,0.1022187
719.8002,0.1019971
720.2823,0.1017982
720.7645,0.1016289
721.2466,0.1014839
721.7287,0.1013491
722.2108,0.1012069
722.6929,0.1010445
723.175,0.1008598
723.6572,0.1006596
724.1393,0.1004547
724.6214,0.1002522
725.1035,0.1000518
725.5856,0.09984532
726.0677,0.09962263
726.5499,0.09937728
727.032,0.09911167
727.5141,0.09883619
727.9962,0.0985648
728.4783,0.09830714
728.9604,0.09806511
729.4426,0.0978327
729.9247,0.09760135
730.4068,0.09736565
730.8889,0.09712785
731.371,0.09689675
731.8531,0.09668347
732.3353,0.09649436
732.8174,0.09632684
733.2995,0.09616955
733.7816,0.09600764
734.2637,0.09582972
734.7458,0.09563189
735.228,0.09541884
735.7101,0.09519929
736.1922,0.09498059
736.6743,0.09476388
737.1564,0.09454418
737.6385,0.09431408
738.1207,0.09406959
738.6028,0.09381367
739.0849,0.09355602
739.567,0.09330782
740.0491,0.09307681
740.5313,0.0928626
741.0134,0.09265745
741.4955,0.09244994
741.9776,0.09223161
742.4597,0.09200136
742.9418,0.09176571
743.424,0.09153481
743.9061,0.09131661
744.3882,0.09111303
744.8703,0.09091926
745.3524,0.09072744
745.8345,0.09053144
746.3167,0.09033122
746.7988,0.09013292
747.2809,0.08994593
747.763,0.0897773
748.2451,0.08962889
748.7272,0.08949699
749.2094,0.08937578
749.6915,0.08926156
750.1736,0.08915627
750.6557,0.08906667
751.1378,0.08900127
751.6199,0.08896474
752.1021,0.08895461
752.5842,0.08896095
753.0663,0.08897036
753.5484,0.08897165
754.0305,0.08895928
754.5126,0.08893513
754.9948,0.08890569
755.4769,0.08887786
755.959,0.08885469
756.4411,0.08883448
756.9232,0.08881243
757.4053,0.08878421
757.8875,0.08874803
758.3696,0.08870511
758.8517,0.08865727
759.3338,0.08860422
759.8159,0.08854181
760.298,0.08846369
760.7802,0.08836419
761.2623,0.08824246
761.7444,0.08810391
762.2265,0.08795914
762.7086,0.08781911
763.1907,0.08769051
763.6729,0.08757387
764.155,0.08746471
764.6371,0.08735807
765.1192,0.08725348
765.6013,0.08715747
766.0834,0.08708234
766.5656,0.08704162
767.0477,0.08704307
767.5298,0.08708559
768.0119,0.0871585
768.494,0.08724668
768.9761,0.08733466
769.4583,0.08741222
769.9404,0.08747608
770.4225,0.08752739
770.9046,0.08756804
