wavenumber,intensity
600.2353,0.2967674
600.7174,0.2963538
601.1995,0.2960109
601.6816,0.2957531
602.1638,0.295535
602.6459,0.2952788
603.128,0.2949281
603.6101,0.2944831
604.0922,0.2940069
604.5743,0.2935902
605.0565,0.2933053
605.5386,0.2931668
606.0207,0.2931238
606.5028,0.293086
606.9849,0.2929692
607.467,0.2927398
607.9492,0.2924212
608.4313,0.2920741
608.9134,0.2917517
609.3955,0.2914714
609.8776,0.2912029
610.3597,0.2908946
610.8419,0.2905054
611.324,0.290038
611.8061,0.2895392
612.2882,0.289078
612.7703,0.2887033
613.2524,0.2884172
613.7346,0.288173
614.2167,0.2879052
614.6988,0.2875656
615.1809,0.2871545
615.663,0.2867209
616.1451,0.2863378
616.6273,0.2860594
617.1094,0.2858877
617.5915,0.2857692
618.0736,0.2856231
618.5557,0.285389
619.0378,0.2850539
619.52,0.28466
620.0021,0.2842727
620.4842,0.2839468
620.9663,0.2836891
621.4484,0.2834584
621.9305,0.2831851
622.4127,0.2828149
622.8948,0.2823384
623.3769,0.2817979
623.859,0.2812622
624.3411,0.2807931
624.8232,0.2804133
625.3054,0.2800996
625.7875,0.2798012
626.2696,0.2794747
626.7517,0.2791129
627.2338,0.2787475
627.7159,0.2784282
628.1981,0.2781865
628.6802,0.2780136
629.1623,0.2778569
629.6444,0.2776472
630.1265,0.2773287
630.6086,0.2768917
631.0908,0.276374
631.5729,0.275842
632.055,0.2753514
632.5371,0.2749213
633.0192,0.2745277
633.5013,0.2741244
633.9835,0.2736735
634.4656,0.273172
634.9477,0.2726553
635.4298,0.2721781
635.9119,0.2717811
636.394,0.2714644
636.8762,0.2711855
637.3583,0.2708805
637.8404,0.2705022
638.3225,0.2700405
638.8046,0.2695306
639.2867,0.2690279
639.7689,0.2685817
640.251,0.2682041
640.7331,0.2678676
641.2152,0.2675216
641.6973,0.2671262
642.1794,0.2666745
642.6616,0.2661984
643.1437,0.265746
643.6258,0.2653549
644.1079,0.2650268
644.59,0.264726
645.0721,0.2643968
645.5543,0.2639968
646.0364,0.2635221
646.5185,0.2630104
647.0006,0.2625226
647.4827,0.2621063
647.9648,0.2617742
648.447,0.2614937
648.9291,0.2612079
649.4112,0.2608619
649.8933,0.2604349
650.3754,0.2599467
650.8575,0.2594451
651.3397,0.2589754
651.8218,0.2585586
652.3039,0.2581846
652.786,0.2578252
653.2681,0.2574563
653.7502,0.257077
654.2324,0.2567108
654.7145,0.2563911
655.1966,0.2561369
655.6787,0.255936
656.1608,0.2557463
656.6429,0.2555162
657.1251,0.2552148
657.6072,0.2548478
658.0893,0.254458
658.5714,0.2540997
659.0535,0.253813
659.5356,0.2535967
660.0178,0.2534097
660.4999,0.2531883
660.982,0.252884
661.4641,0.2524849
661.9462,0.2520233
662.4283,0.2515555
662.9105,0.2511361
663.3926,0.2507913
663.8747,0.2505096
664.3568,0.2502538
664.8389,0.2499826
665.321,0.24967
665.8032,0.2493107
666.2853,0.248917
666.7674,0.248505
667.2495,0.2480858
667.7316,0.2476576
668.2137,0.2472187
668.6959,0.2467829
669.178,0.246387
669.6601,0.2460672
670.1422,0.2458368
670.6243,0.2456796
671.1064,0.2455561
671.5886,0.2454136
672.0707,0.2452059
