wavenumber,intensity
600.2353,0.1483264
600.7174,0.1482507
601.1995,0.1482017
601.6816,0.148159
602.1638,0.1480887
602.6459,0.1479568
603.128,0.1477487
603.6101,0.1474777
604.0922,0.1471831
604.5743,0.1469113
605.0565,0.1466977
605.5386,0.146553
606.0207,0.1464615
606.5028,0.1463927
606.9849,0.1463189
607.467,0.1462298
607.9492,0.1461338
608.4313,0.1460489
608.9134,0.1459871
609.3955,0.1459432
609.8776,0.1458934
610.3597,0.1458068
610.8419,0.1456577
611.324,0.1454405
611.8061,0.1451705
612.2882,0.1448768
612.7703,0.1445871
613.2524,0.1443165
613.7346,0.1440664
614.2167,0.1438303
614.6988,0.1436051
615.1809,0.143399
615.663,0.1432301
616.1451,0.1431181
616.6273,0.1430705
617.1094,0.1430747
617.5915,0.1430978
618.0736,0.1430983
618.5557,0.1430451
619.0378,0.1429269
619.52,0.1427561
620.0021,0.1425586
620.4842,0.1423615
620.9663,0.1421797
621.4484,0.142013
621.9305,0.1418509
622.4127,0.1416832
622.8948,0.1415075
623.3769,0.141331
623.859,0.1411644
624.3411,0.1410142
624.8232,0.1408768
625.3054,0.1407404
625.7875,0.1405915
626.2696,0.1404238
626.7517,0.1402427
627.2338,0.1400619
627.7159,0.1398931
628.1981,0.1397374
628.6802,0.139581
629.1623,0.1394013
629.6444,0.1391798
630.1265,0.1389121
630.6086,0.1386135
631.0908,0.138313
631.5729,0.1380405
632.055,0.1378112
632.5371,0.1376184
633.0192,0.1374364
633.5013,0.1372359
633.9835,0.1369979
634.4656,0.1367246
634.9477,0.136437
635.4298,0.1361648
635.9119,0.1359303
636.394,0.1357372
636.8762,0.1355706
637.3583,0.1354069
637.8404,0.1352283
638.3225,0.1350303
638.8046,0.1348233
639.2867,0.1346226
639.7689,0.1344388
640.251,0.134268
640.7331,0.1340946
641.2152,0.1338991
641.6973,0.1336718
642.1794,0.1334191
642.6616,0.1331625
643.1437,0.1329268
643.6258,0.1327275
644.1079,0.1325621
644.59,0.1324112
645.0721,0.1322479
645.5543,0.1320525
646.0364,0.1318227
646.5185,0.1315745
647.0006,0.1313329
647.4827,0.1311171
647.9648,0.1309318
648.447,0.1307629
648.9291,0.130586
649.4112,0.1303774
649.8933,0.1301268
650.3754,0.1298415
650.8575,0.1295427
651.3397,0.1292548
651.8218,0.1289967
652.3039,0.1287787
652.786,0.1286017
653.2681,0.1284629
653.7502,0.1283588
654.2324,0.1282855
654.7145,0.1282352
655.1966,0.1281932
655.6787,0.1281402
656.1608,0.1280562
656.6429,0.1279309
657.1251,0.1277696
657.6072,0.1275927
658.0893,0.1274261
658.5714,0.1272876
659.0535,0.127177
659.5356,0.1270732
660.0178,0.1269447
660.4999,0.1267629
660.982,0.1265198
661.4641,0.1262324
661.9462,0.1259377
662.4283,0.1256741
662.9105,0.1254667
663.3926,0.1253161
663.8747,0.1252013
664.3568,0.1250914
664.8389,0.1249613
665.321,0.1248002
665.8032,0.1246125
666.2853,0.1244124
666.7674,0.1242133
667.2495,0.124023
667.7316,0.1238392
668.2137,0.123664
668.6959,0.1235022
669.178,0.1233477
669.6601,0.1231814
670.1422,0.1229961
670.6243,0.1227986
671.1064,0.1225961
671.5886,0.1223887
672.0707,0.1221705
672.5528,0.1219378
673.0349,0.121695
673.517,0.1214543
673.9991,0.1212307
674.4813,0.1210327
674.9634,0.1208572
675.4455,0.1206896
675.9276,0.1205122
676.4097,0.1203139
676.8918,0.1200969
677.374,0.1198756
677.8561,0.1196687
678.3382,0.1194899
678.8203,0.1193397
679.3024,0.1192059
679.7845,0.1190692
680.2667,0.1189142
680.7488,0.1187357
681.2309,0.1185398
681.713,0.1183378
682.1951,0.118139
682.6772,0.1179446
683.1594,0.1177488
683.6415,0.1175448
684.1236,0.117332
684.6057,0.1171199
685.0878,0.1169261
685.5699,0.1167668
686.0521,0.1166478
686.5342,0.1165589
687.0163,0.1164773
687.4984,0.1163766
687.9805,0.1162365
688.4626,0.1160533
688.9448,0.1158392
689.4269,0.1156162
689.909,0.1154035
690.3911,0.1152101
690.8732,0.1150324
691.3553,0.1148594
691.8375,0.1146805
692.3196,0.1144925
692.8017,0.1143006
693.2838,0.1141153
693.7659,0.113945
694.248,0.1137913
694.7302,0.113648
695.2123,0.1135057
695.6944,0.1133577
696.1765,0.1132033
696.6586,0.113048
697.1407,0.1128983
697.6229,0.1127567
698.105,0.1126181
698.5871,0.112472
699.0692,0.1123076
699.5513,0.1121211
700.0334,0.1119189
700.5156,0.1117155
700.9977,0.1115262
701.4798,0.1113611
701.9619,0.1112194
702.444,0.1110917
702.9261,0.1109641
703.4083,0.1108258
703.8904,0.1106734
704.3725,0.1105103
704.8546,0.1103415
705.3367,0.1101681
705.8188,0.1099842
706.301,0.1097797
706.7831,0.1095459
707.2652,0.1092817
707.7473,0.1089974
708.2294,0.1087106
708.7115,0.1084411
709.1937,0.1082008
709.6758,0.1079908
710.1579,0.1078021
710.64,0.107623
711.1221,0.107445
711.6042,0.1072681
712.0864,0.1070993
712.5685,0.1069481
713.0506,0.1068185
713.5327,0.106706
714.0148,0.1065972
714.4969,0.1064761
714.9791,0.1063314
715.4612,0.1061598
715.9433,0.1059676
716.4254,0.105765
716.9075,0.1055613
717.3896,0.1053604
717.8718,0.1051606
718.3539,0.1049588
718.836,0.1047543
719.3181,0.1045518
719.8002,0.1043588
720.2823,0.1041813
720.7645,0.1040191
721.2466,0.1038634
721.7287,0.1037021
722.2108,0.1035251
722.6929,0.1033305
723.175,0.1031252
723.6572,0.1029217
724.1393,0.1027304
724.6214,0.1025538
725.1035,0.1023843
725.5856,0.1022087
726.0677,0.1020148
726.5499,0.1017986
727.032,0.1015674
727.5141,0.1013365
727.9962,0.1011222
728.4783,0.1009329
728.9604,0.1007656
729.4426,0.1006071
729.9247,0.1004418
730.4068,0.1002584
730.8889,0.1000557
731.371,0.09984116
731.8531,0.09962714
732.3353,0.09942332
732.8174,0.09923228
733.2995,0.09904981
733.7816,0.09886877
734.2637,0.09868408
734.7458,0.09849536
735.228,0.09830626
735.7101,0.09812062
736.1922,0.09793855
736.6743,0.09775533
737.1564,0.09756401
737.6385,0.09736042
738.1207,0.09714746
738.6028,0.09693584
739.0849,0.09673976
739.567,0.09656895
740.0491,0.09642341
740.5313,0.09629116
741.0134,0.09615411
741.4955,0.09599456
741.9776,0.09580486
742.4597,0.09559052
742.9418,0.09536801
743.424,0.09515604
743.9061,0.09496649
744.3882,0.09480001
744.8703,0.09464666
745.3524,0.09449264
745.8345,0.0943278
746.3167,0.0941519
746.7988,0.09397428
747.2809,0.09380933
747.763,0.09366821
748.2451,0.09355473
748.7272,0.09346418
749.2094,0.09338766
749.6915,0.09331706
750.1736,0.09324975
750.6557,0.09318861
751.1378,0.09313884
751.6199,0.09310295
752.1021,0.09307805
752.5842,0.09305614
753.0663,0.09302855
753.5484,0.09299071
754.0305,0.09294464
754.5126,0.09289756
754.9948,0.09285747
755.4769,0.09282798
755.959,0.09280554
756.4411,0.09278094
756.9232,0.09274386
