wavenumber,intensity
600.2353,0.237642
600.7174,0.2373968
601.1995,0.2372095
601.6816,0.2370977
602.1638,0.237032
602.6459,0.2369531
603.128,0.2368088
603.6101,0.2365818
604.0922,0.2362976
604.5743,0.2360062
605.0565,0.2357517
605.5386,0.2355463
606.0207,0.2353628
606.5028,0.2351515
606.9849,0.2348697
607.467,0.2345082
607.9492,0.2340959
608.4313,0.2336834
608.9134,0.2333109
609.3955,0.2329895
609.8776,0.2326939
610.3597,0.2323828
610.8419,0.2320231
611.324,0.2316144
611.8061,0.2311895
612.2882,0.2307984
612.7703,0.2304766
613.2524,0.2302257
613.7346,0.2300107
614.2167,0.229781
614.6988,0.2294971
615.1809,0.2291535
615.663,0.2287806
616.1451,0.2284285
616.6273,0.2281374
617.1094,0.2279132
617.5915,0.2277254
618.0736,0.2275235
618.5557,0.2272696
619.0378,0.2269555
619.52,0.2266073
620.0021,0.2262648
620.4842,0.2259591
620.9663,0.225691
621.4484,0.2254325
621.9305,0.2251427
622.4127,0.2247952
622.8948,0.2243952
623.3769,0.2239791
623.859,0.223593
624.3411,0.2232682
624.8232,0.2230011
625.3054,0.2227557
625.7875,0.2224817
626.2696,0.2221444
626.7517,0.2217454
627.2338,0.2213209
627.7159,0.2209211
628.1981,0.2205788
628.6802,0.2202941
629.1623,0.2200313
629.6444,0.2197426
630.1265,0.2193912
630.6086,0.2189762
631.0908,0.2185308
631.5729,0.2181065
632.055,0.2177418
632.5371,0.2174419
633.0192,0.2171758
633.5013,0.2168955
633.9835,0.2165616
634.4656,0.2161656
634.9477,0.2157335
635.4298,0.2153105
635.9119,0.2149338
636.394,0.21461
636.8762,0.2143131
637.3583,0.214
637.8404,0.2136384
638.3225,0.2132235
638.8046,0.2127835
639.2867,0.212361
639.7689,0.211993
640.251,0.2116869
640.7331,0.2114195
641.2152,0.2111482
641.6973,0.2108377
642.1794,0.2104766
642.6616,0.2100816
643.1437,0.2096829
643.6258,0.2093043
644.1079,0.2089464
644.59,0.2085865
645.0721,0.208192
645.5543,0.207744
646.0364,0.2072522
646.5185,0.2067561
647.0006,0.206307
647.4827,0.2059412
647.9648,0.2056645
648.447,0.205447
648.9291,0.2052418
649.4112,0.2050052
649.8933,0.2047208
650.3754,0.204402
650.8575,0.2040795
651.3397,0.2037775
651.8218,0.2034981
652.3039,0.2032181
652.786,0.2029048
653.2681,0.2025354
653.7502,0.2021133
654.2324,0.2016674
654.7145,0.2012387
655.1966,0.2008571
655.6787,0.2005249
656.1608,0.2002161
656.6429,0.1998917
657.1251,0.1995243
657.6072,0.1991128
658.0893,0.1986854
658.5714,0.1982831
659.0535,0.1979409
659.5356,0.1976667
660.0178,0.197441
660.4999,0.1972271
660.982,0.1969954
661.4641,0.1967367
661.9462,0.1964651
662.4283,0.1962042
662.9105,0.1959693
663.3926,0.1957547
663.8747,0.195535
664.3568,0.1952781
664.8389,0.1949634
665.321,0.194591
665.8032,0.1941854
666.2853,0.1937866
666.7674,0.1934327
667.2495,0.1931427
667.7316,0.1928934
668.2137,0.1926301
668.6959,0.1923018
669.178,0.1919124
669.6601,0.1915093
670.1422,0.191142
670.6243,0.1908322
671.1064,0.1905716
671.5886,0.1903301
672.0707,0.1900718
672.5528,0.1897688
673.0349,0.1894154
673.517,0.1890296
673.9991,0.1886446
674.4813,0.1882902
674.9634,0.1879755
675.4455,0.1876876
675.9276,0.1873999
676.4097,0.1870909
676.8918,0.1867562
677.374,0.1864122
677.8561,0.186085
678.3382,0.1857958
678.8203,0.1855476
679.3024,0.1853246
679.7845,0.1851019
680.2667,0.184862
680.7488,0.1846051
681.2309,0.184348
681.713,0.1841112
682.1951,0.1839038
682.6772,0.1837128
683.1594,0.1835082
683.6415,0.1832554
684.1236,0.1829367
684.6057,0.1825626
685.0878,0.1821708
685.5699,0.1818081
686.0521,0.1815063
686.5342,0.1812702
687.0163,0.1810742
687.4984,0.1808785
687.9805,0.1806464
688.4626,0.1803661
688.9448,0.1800521
689.4269,0.1797368
689.909,0.1794473
690.3911,0.1791921
690.8732,0.1789556
691.3553,0.1787093
691.8375,0.1784274
692.3196,0.1781021
692.8017,0.1777474
693.2838,0.1773915
693.7659,0.1770609
694.248,0.1767664
694.7302,0.1765006
695.2123,0.1762443
