wavenumber,intensity
600.2353,0.1586139
600.7174,0.158453
601.1995,0.158292
601.6816,0.1581498
602.1638,0.158024
602.6459,0.1578993
603.128,0.1577646
603.6101,0.1576238
604.0922,0.1574969
604.5743,0.1574065
605.0565,0.1573623
605.5386,0.1573494
606.0207,0.157333
606.5028,0.1572716
606.9849,0.1571376
607.467,0.1569318
607.9492,0.1566814
608.4313,0.1564261
608.9134,0.1561941
609.3955,0.1559913
609.8776,0.1557974
610.3597,0.1555828
610.8419,0.1553248
611.324,0.1550255
611.8061,0.1547115
612.2882,0.1544236
612.7703,0.1541949
613.2524,0.1540357
613.7346,0.1539307
614.2167,0.1538491
614.6988,0.1537606
615.1809,0.1536481
615.663,0.1535129
616.1451,0.1533661
616.6273,0.1532158
617.1094,0.1530571
617.5915,0.1528721
618.0736,0.1526411
618.5557,0.1523579
619.0378,0.1520389
619.52,0.15172
620.0021,0.1514398
620.4842,0.1512258
620.9663,0.1510783
621.4484,0.1509735
621.9305,0.1508741
622.4127,0.1507504
622.8948,0.1505934
623.3769,0.1504174
623.859,0.1502486
624.3411,0.1501087
624.8232,0.1500018
625.3054,0.1499113
625.7875,0.1498087
626.2696,0.14967
626.7517,0.1494898
627.2338,0.1492827
627.7159,0.1490745
628.1981,0.1488857
628.6802,0.1487216
629.1623,0.1485686
629.6444,0.1484043
630.1265,0.1482088
630.6086,0.1479779
631.0908,0.1477242
631.5729,0.1474702
632.055,0.1472336
632.5371,0.1470177
633.0192,0.1468094
633.5013,0.1465877
633.9835,0.1463353
634.4656,0.1460494
634.9477,0.1457425
635.4298,0.1454359
635.9119,0.1451471
636.394,0.1448803
636.8762,0.1446267
637.3583,0.1443722
637.8404,0.1441092
638.3225,0.143844
638.8046,0.1435954
639.2867,0.143384
639.7689,0.1432218
640.251,0.1431017
640.7331,0.1430006
641.2152,0.1428874
641.6973,0.1427391
642.1794,0.1425498
642.6616,0.1423313
643.1437,0.1421028
643.6258,0.1418794
644.1079,0.1416625
644.59,0.1414401
645.0721,0.141195
645.5543,0.1409179
646.0364,0.140615
646.5185,0.1403089
647.0006,0.1400275
647.4827,0.1397898
647.9648,0.1395981
648.447,0.139435
648.9291,0.1392751
649.4112,0.139096
649.8933,0.1388907
650.3754,0.1386683
650.8575,0.1384472
651.3397,0.1382409
651.8218,0.1380499
652.3039,0.1378609
652.786,0.1376554
653.2681,0.137421
653.7502,0.137161
654.2324,0.1368935
654.7145,0.136644
655.1966,0.1364328
655.6787,0.1362638
656.1608,0.1361247
656.6429,0.1359935
657.1251,0.1358519
657.6072,0.1356932
658.0893,0.1355249
658.5714,0.1353614
659.0535,0.1352146
659.5356,0.135085
660.0178,0.1349617
660.4999,0.1348278
660.982,0.1346718
661.4641,0.1344934
661.9462,0.1343039
662.4283,0.1341184
662.9105,0.1339467
663.3926,0.1337876
663.8747,0.1336304
664.3568,0.1334617
664.8389,0.1332744
665.321,0.1330712
665.8032,0.1328653
666.2853,0.1326737
666.7674,0.1325078
667.2495,0.132366
667.7316,0.1322279
668.2137,0.1320716
668.6959,0.1318878
669.178,0.1316851
669.6601,0.1314784
670.1422,0.1312876
670.6243,0.131128
