wavenumber,intensity
600.2353,0.1570944
600.7174,0.1569345
601.1995,0.1568317
601.6816,0.156791
602.1638,0.1567898
602.6459,0.1567888
603.128,0.1567552
603.6101,0.1566779
604.0922,0.1565695
604.5743,0.1564552
605.0565,0.1563543
605.5386,0.156267
606.0207,0.1561733
606.5028,0.1560442
606.9849,0.1558604
607.467,0.1556248
607.9492,0.1553628
608.4313,0.1551088
608.9134,0.1548864
609.3955,0.1546982
609.8776,0.1545247
610.3597,0.1543401
610.8419,0.1541281
611.324,0.1538961
611.8061,0.1536719
612.2882,0.1534913
612.7703,0.1533752
613.2524,0.1533177
613.7346,0.1532854
614.2167,0.1532346
614.6988,0.1531302
615.1809,0.1529619
615.663,0.1527467
616.1451,0.1525184
616.6273,0.1523074
617.1094,0.1521239
617.5915,0.1519542
618.0736,0.1517704
618.5557,0.15155
619.0378,0.1512885
619.52,0.1510049
620.0021,0.1507289
620.4842,0.1504883
620.9663,0.1502923
621.4484,0.1501304
621.9305,0.1499796
622.4127,0.1498203
622.8948,0.1496463
623.3769,0.1494664
623.859,0.1492961
624.3411,0.1491446
624.8232,0.1490065
625.3054,0.148863
625.7875,0.1486917
626.2696,0.148481
626.7517,0.1482379
627.2338,0.1479857
627.7159,0.1477509
628.1981,0.1475469
628.6802,0.1473685
629.1623,0.1471931
629.6444,0.1469963
630.1265,0.1467653
630.6086,0.1465091
631.0908,0.1462544
631.5729,0.1460333
632.055,0.1458642
632.5371,0.1457423
633.0192,0.1456402
633.5013,0.145524
633.9835,0.1453677
634.4656,0.1451667
634.9477,0.1449366
635.4298,0.1447023
635.9119,0.1444813
636.394,0.1442726
636.8762,0.1440579
637.3583,0.1438131
637.8404,0.1435257
638.3225,0.1432023
638.8046,0.1428684
639.2867,0.1425538
639.7689,0.1422797
640.251,0.1420466
640.7331,0.1418363
641.2152,0.1416226
641.6973,0.1413881
642.1794,0.1411336
642.6616,0.1408763
643.1437,0.1406375
643.6258,0.1404284
644.1079,0.1402406
644.59,0.1400497
645.0721,0.139827
645.5543,0.1395564
646.0364,0.1392443
646.5185,0.1389176
647.0006,0.1386103
647.4827,0.1383447
647.9648,0.1381224
648.447,0.1379233
648.9291,0.1377196
649.4112,0.1374899
649.8933,0.1372333
650.3754,0.1369681
650.8575,0.1367216
651.3397,0.136512
651.8218,0.1363379
652.3039,0.1361777
652.786,0.1360021
653.2681,0.1357884
653.7502,0.1355325
654.2324,0.1352494
654.7145,0.1349636
655.1966,0.1346951
655.6787,0.1344479
656.1608,0.1342107
656.6429,0.1339653
657.1251,0.1337017
657.6072,0.133425
658.0893,0.1331556
658.5714,0.1329174
659.0535,0.1327264
659.5356,0.1325797
660.0178,0.1324577
660.4999,0.1323326
660.982,0.1321847
661.4641,0.1320092
661.9462,0.1318159
662.4283,0.1316185
662.9105,0.131425
663.3926,0.1312307
663.8747,0.1310232
664.3568,0.1307907
664.8389,0.130533
665.321,0.1302608
665.8032,0.1299946
666.2853,0.1297541
666.7674,0.129545
667.2495,0.1293571
667.7316,0.1291643
668.2137,0.128951
668.6959,0.1287184
669.178,0.1284719
669.6601,0.1282115
670.1422,0.1279527
670.6243,0.1277204
671.1064,0.1275289
671.5886,0.1273725
672.0707,0.1272299
672.5528,0.1270773
673.0349,0.126901
673.517,0.1267028
673.9991,0.1264958
674.4813,0.1262928
674.9634,0.1260955
675.4455,0.1258914
675.9276,0.1256611
676.4097,0.1253914
676.8918,0.1250858
677.374,0.1247668
677.8561,0.1244663
678.3382,0.1242137
678.8203,0.1240211
679.3024,0.1238807
679.7845,0.1237695
680.2667,0.123662
680.7488,0.1235406
681.2309,0.1234005
681.713,0.123247
682.1951,0.1230875
682.6772,0.1229244
683.1594,0.1227531
683.6415,0.1225667
684.1236,0.1223632
684.6057,0.12215
685.0878,0.1219421
685.5699,0.121754
686.0521,0.1215905
686.5342,0.1214427
687.0163,0.1212911
687.4984,0.1211173
687.9805,0.1209135
688.4626,0.1206908
688.9448,0.1204741
689.4269,0.1202914
689.909,0.1201568
690.3911,0.1200633
690.8732,0.1199832
691.3553,0.1198829
691.8375,0.1197359
692.3196,0.1195363
692.8017,0.1192994
693.2838,0.119055
693.7659,0.1188311
694.248,0.1186415
694.7302,0.1184826
695.2123,0.1183376
695.6944,0.1181892
696.1765,0.118028
696.6586,0.1178578
697.1407,0.1176901
697.6229,0.1175361
698.105,0.1173969
698.5871,0.1172623
699.0692,0.1171148
699.5513,0.1169403
700.0334,0.116735
700.5156,0.1165085
700.9977,0.1162778
701.4798,0.1160595
701.9619,0.1158609
702.444,0.1156784
702.9261,0.1154999
703.4083,0.1153132
703.8904,0.1151129
704.3725,0.1149014
704.8546,0.1146861
705.3367,0.1144723
705.8188,0.114259
706.301,0.1140385
706.7831,0.1138018
707.2652,0.1135454
707.7473,0.1132758
708.2294,0.113009
708.7115,0.1127641
709.1937,0.1125535
709.6758,0.1123783
710.1579,0.1122271
710.64,0.1120829
711.1221,0.11193
711.6042,0.111761
712.0864,0.1115791
712.5685,0.1113934
713.0506,0.111213
713.5327,0.1110408
714.0148,0.1108736
714.4969,0.1107046
714.9791,0.1105298
715.4612,0.1103504
715.9433,0.1101727
716.4254,0.1100029
716.9075,0.1098421
717.3896,0.1096835
717.8718,0.1095144
718.3539,0.1093216
718.836,0.1090999
719.3181,0.1088548
719.8002,0.1086005
720.2823,0.1083518
720.7645,0.1081166
721.2466,0.10789
721.7287,0.1076585
722.2108,0.1074072
722.6929,0.1071283
723.175,0.1068256
723.6572,0.1065122
724.1393,0.1062032
724.6214,0.1059074
725.1035,0.1056235
725.5856,0.1053417
726.0677,0.1050506
726.5499,0.1047442
727.032,0.1044269
727.5141,0.1041111
727.9962,0.1038113
728.4783,0.1035348
728.9604,0.1032781
729.4426,0.1030283
729.9247,0.1027711
730.4068,0.1024985
730.8889,0.1022142
731.371,0.1019315
731.8531,0.1016672
732.3353,0.1014322
732.8174,0.1012259
733.2995,0.1010362
733.7816,0.1008461
734.2637,0.1006425
734.7458,0.1004206
735.228,0.1001859
735.7101,0.09994821
736.1922,0.0997158
736.6743,0.09948975
737.1564,0.09926443
737.6385,0.09903197
738.1207,0.09878875
738.6028,0.09853918
739.0849,0.09829463
739.567,0.09806712
740.0491,0.09786352
740.5313,0.0976809
741.0134,0.09750851
741.4955,0.09733267
741.9776,0.09714463
742.4597,0.09694488
742.9418,0.09674218
743.424,0.09654749
743.9061,0.09636661
744.3882,0.09619582
744.8703,0.0960229
745.3524,0.09583333
745.8345,0.09561729
746.3167,0.09537577
746.7988,0.09512007
747.2809,0.09486713
747.763,0.09463079
748.2451,0.09441753
748.7272,0.09422529
749.2094,0.0940474
749.6915,0.09387804
750.1736,0.09371664
750.6557,0.09356765
751.1378,0.09343687
751.6199,0.09332586
752.1021,0.09322923
752.5842,0.09313504
753.0663,0.09303041
753.5484,0.09290774
754.0305,0.09276803
754.5126,0.09262015
754.9948,0.09247582
755.4769,0.09234348
755.959,0.09222352
756.4411,0.09210896
756.9232,0.09198949
757.4053,0.09185797
757.8875,0.09171374
758.3696,0.0915628
758.8517,0.09141301
759.3338,0.09126956
759.8159,0.09113145
760.298,0.09099143
760.7802,0.09084506
761.2623,0.09069148
761.7444,0.09053661
762.2265,0.09039183
762.7086,0.09026786
763.1907,0.09016886
763.6729,0.09008925
764.155,0.09001558
764.6371,0.08993249
765.1192,0.08982927
765.6013,0.08970553
766.0834,0.08957075
766.5656,0.08943979
767.0477,0.08932468
767.5298,0.08923031
768.0119,0.08915248
768.494,0.08908182
768.9761,0.08900847
769.4583,0.08892752
769.9404,0.08884019
770.4225,0.08875144
770.9046,0.08866533
771.3867,0.08858145
771.8688,0.08849415
772.351,0.08839532
772.8331,0.08827882
773.3152,0.08814321
773.7973,0.08799238
774.2794,0.08783255
774.7615,0.08766875
775.2437,0.08750178
775.7258,0.08732888
776.2079,0.08714682
776.69,0.08695591
777.1721,0.08676209
