wavenumber,intensity
600.2353,0.1576165
600.7174,0.1574324
601.1995,0.1572796
601.6816,0.1571616
602.1638,0.157066
602.6459,0.1569744
603.128,0.1568774
603.6101,0.1567805
604.0922,0.1566997
604.5743,0.1566472
605.0565,0.156618
605.5386,0.1565826
606.0207,0.1564993
606.5028,0.1563303
606.9849,0.1560638
607.467,0.1557232
607.9492,0.1553627
608.4313,0.1550457
608.9134,0.1548164
609.3955,0.1546865
609.8776,0.1546313
610.3597,0.1546077
610.8419,0.1545718
611.324,0.1545015
611.8061,0.1544005
612.2882,0.1542896
612.7703,0.1541893
613.2524,0.1541055
613.7346,0.154025
614.2167,0.1539236
614.6988,0.1537796
615.1809,0.153586
615.663,0.1533538
616.1451,0.1531058
616.6273,0.1528645
617.1094,0.152641
617.5915,0.1524335
618.0736,0.1522334
618.5557,0.1520364
619.0378,0.15185
619.52,0.151692
620.0021,0.1515794
620.4842,0.1515177
620.9663,0.1514922
621.4484,0.1514731
621.9305,0.1514246
622.4127,0.1513237
622.8948,0.1511683
623.3769,0.1509764
623.859,0.1507742
624.3411,0.1505812
624.8232,0.1504007
625.3054,0.1502192
625.7875,0.1500163
626.2696,0.1497792
626.7517,0.1495123
627.2338,0.1492369
627.7159,0.1489801
628.1981,0.14876
628.6802,0.1485781
629.1623,0.1484177
629.6444,0.1482552
630.1265,0.1480707
630.6086,0.147859
631.0908,0.1476294
631.5729,0.1473984
632.055,0.1471779
632.5371,0.1469679
633.0192,0.1467571
633.5013,0.1465317
633.9835,0.146285
634.4656,0.1460238
634.9477,0.1457653
635.4298,0.1455281
635.9119,0.1453208
636.394,0.1451362
636.8762,0.1449545
637.3583,0.1447546
637.8404,0.1445264
638.3225,0.144276
638.8046,0.1440219
639.2867,0.1437833
639.7689,0.1435688
640.251,0.14337
640.7331,0.1431663
641.2152,0.1429356
641.6973,0.1426691
642.1794,0.142377
642.6616,0.1420855
643.1437,0.1418217
643.6258,0.1416013
644.1079,0.1414199
644.59,0.1412566
645.0721,0.1410845
645.5543,0.1408868
646.0364,0.1406648
646.5185,0.1404366
647.0006,0.1402261
647.4827,0.1400473
647.9648,0.1398975
648.447,0.1397574
648.9291,0.1396029
649.4112,0.1394167
649.8933,0.1391997
650.3754,0.1389683
650.8575,0.1387462
651.3397,0.1385492
651.8218,0.1383783
652.3039,0.1382197
652.786,0.1380552
653.2681,0.137873
653.7502,0.1376747
654.2324,0.1374737
654.7145,0.1372856
655.1966,0.1371174
655.6787,0.1369612
656.1608,0.136797
656.6429,0.136604
657.1251,0.1363731
657.6072,0.136112
