wavenumber,intensity
600.2353,0.2493724
600.7174,0.2490574
601.1995,0.2487932
601.6816,0.2486053
602.1638,0.2484737
602.6459,0.2483468
603.128,0.2481768
603.6101,0.2479462
604.0922,0.247675
604.5743,0.2474028
605.0565,0.2471614
605.5386,0.2469506
606.0207,0.2467377
606.5028,0.2464759
606.9849,0.2461363
607.467,0.2457293
607.9492,0.2453043
608.4313,0.244925
608.9134,0.2446317
609.3955,0.244422
609.8776,0.2442489
610.3597,0.2440513
610.8419,0.2437847
611.324,0.243452
611.8061,0.2431007
612.2882,0.2428001
612.7703,0.2425988
613.2524,0.2424977
613.7346,0.2424459
614.2167,0.2423689
614.6988,0.2422032
615.1809,0.2419284
615.663,0.2415746
616.1451,0.241204
616.6273,0.2408738
617.1094,0.2406027
617.5915,0.2403633
618.0736,0.2401002
618.5557,0.239768
619.0378,0.2393578
619.52,0.2389067
620.0021,0.2384755
620.4842,0.2381221
620.9663,0.2378673
621.4484,0.2376895
621.9305,0.2375374
622.4127,0.2373618
622.8948,0.23714
623.3769,0.2368841
623.859,0.2366271
624.3411,0.2363981
624.8232,0.2361999
625.3054,0.2360054
625.7875,0.235772
626.2696,0.2354689
626.7517,0.2350987
627.2338,0.2346984
627.7159,0.2343194
628.1981,0.2339971
628.6802,0.233733
629.1623,0.2334907
629.6444,0.2332187
630.1265,0.2328752
630.6086,0.2324548
631.0908,0.2319898
631.5729,0.2315354
632.055,0.2311369
632.5371,0.2308078
633.0192,0.2305236
633.5013,0.2302396
633.9835,0.2299145
634.4656,0.2295347
634.9477,0.2291191
635.4298,0.2287052
635.9119,0.2283241
636.394,0.2279792
636.8762,0.2276447
637.3583,0.2272822
637.8404,0.2268674
638.3225,0.2264065
638.8046,0.2259378
639.2867,0.2255103
639.7689,0.2251611
640.251,0.2248904
640.7331,0.2246632
641.2152,0.2244233
641.6973,0.2241264
642.1794,0.2237603
642.6616,0.2233489
643.1437,0.2229346
643.6258,0.2225537
644.1079,0.2222146
644.59,0.2218946
645.0721,0.2215537
645.5543,0.2211609
646.0364,0.2207146
646.5185,0.2202452
647.0006,0.219799
647.4827,0.2194109
647.9648,0.2190868
648.447,0.2187983
648.9291,0.2185012
649.4112,0.2181581
649.8933,0.2177633
650.3754,0.2173441
650.8575,0.2169478
651.3397,0.216612
651.8218,0.2163458
652.3039,0.2161239
652.786,0.2159036
653.2681,0.2156465
653.7502,0.2153387
654.2324,0.2149955
654.7145,0.2146483
655.1966,0.2143226
655.6787,0.2140199
656.1608,0.2137168
656.6429,0.2133797
657.1251,0.2129894
657.6072,0.2125561
658.0893,0.2121204
658.5714,0.211733
659.0535,0.211434
659.5356,0.2112283
