Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
0,0.054306266,0.015809062,0.075247532,0.062836957,0.061311124,0.064611738,0.064820906,0,0.056466278,0,0.06839939,0.055113898,0.064545344,0.064756975,0.037505095,0,0.043518898,0.051179899,0.119467182,0.053193152,0.108764589,0.056732937,0.040966174,0.05810922,0.072409697,0.054410366,0.014573862,0.033333272,0.052238568
0,0.057063425,0.013151856,0.071736362,0.068183139,0.060461135,0.060006523,0.056119916,0,0.06023131,0,0.065696394,0.057130003,0.063740999,0.057882154,0.039665722,0,0.04557721,0.05194087,0.116821621,0.056082227,0.104833272,0.060030973,0.043583568,0.058889808,0.071138086,0.055888899,0.012209311,0.033940329,0.051103736
0,0.059440246,0.010746029,0.068189341,0.07258592,0.059742074,0.055573658,0.048139612,0,0.063341214,0,0.063296408,0.058872859,0.06304393,0.051478816,0.04138899,0,0.047149226,0.052298913,0.114145101,0.058326414,0.101096905,0.062657023,0.045903823,0.059593099,0.069926722,0.057220823,0.01006429,0.03427739,0.050081303
0,0.061449567,0.008580784,0.064616242,0.076091798,0.059142045,0.051311864,0.040851626,0,0.065826504,0,0.061179926,0.060349793,0.062444857,0.045531068,0.042696867,0,0.048260717,0.052277838,0.111443563,0.059959721,0.097549382,0.064645063,0.0479351,0.060215739,0.068772832,0.058405563,0.00812948,0.03436008,0.049162282
0,0.063104228,0.006645327,0.061026842,0.078747271,0.058649155,0.047219856,0.034227587,0,0.067717689,0,0.059327443,0.061568135,0.0619345,0.04002302,0.043611324,0,0.048937453,0.051901455,0.108722953,0.061016158,0.094184595,0.066029068,0.049685557,0.060754373,0.067673641,0.059442543,0.00639556,0.034204025,0.048337683
0,0.064417067,0.004928862,0.057430913,0.080598836,0.058251509,0.043296354,0.028239127,0,0.069045283,0,0.057719451,0.062535214,0.061503576,0.034938778,0.04415433,0,0.049205203,0.051193572,0.105989213,0.061529735,0.090996438,0.066843013,0.051163352,0.061205647,0.066626376,0.060331188,0.004853213,0.033824849,0.047598517
0,0.065400921,0.003420593,0.053838232,0.081692992,0.057937211,0.039540077,0.022857878,0,0.069839797,0,0.056336445,0.063258357,0.061142806,0.03026245,0.044347855,0,0.049089737,0.050178001,0.103248288,0.061534459,0.087978805,0.067120874,0.052376645,0.061566207,0.065628262,0.061070923,0.003493118,0.033238178,0.046935797
0,0.066068629,0.002109726,0.050258572,0.082076234,0.057694369,0.035949742,0.018055469,0,0.070131743,0,0.055158919,0.063744894,0.060842908,0.025978145,0.044213868,0,0.048616826,0.048878549,0.10050612,0.061064342,0.085125589,0.066896626,0.053333594,0.0618327,0.064676527,0.061661173,0.002305956,0.032459638,0.046340534
0,0.066433029,0.000985464,0.046701708,0.081795063,0.057511086,0.032524067,0.013803531,0,0.069951632,0,0.054167367,0.064002153,0.060594602,0.022069971,0.043774339,0,0.04781224,0.047319028,0.097768655,0.060153391,0.082430683,0.066204243,0.054042357,0.062001771,0.063768396,0.06210136,0.001282409,0.031504853,0.045803739
0,0.06650696,3.70E-05,0.043177415,0.080895974,0.05737547,0.029261771,0.010073697,0,0.069329977,0,0.053342283,0.064037463,0.060388606,0.018522034,0.043051236,0,0.046701748,0.045523246,0.095041834,0.058835616,0.079887981,0.065077702,0.054511094,0.062070066,0.062901095,0.062390911,0.000413157,0.030389449,0.045316424
0,0.06630326,0.000746423,0.039695467,0.079425466,0.057275624,0.026161573,0.006837596,0,0.06829729,0,0.052664161,0.063858152,0.06021564,0.015318444,0.042066531,0,0.045311121,0.043515013,0.092331603,0.057145026,0.077491376,0.063550977,0.054747964,0.06203423,0.06207185,0.062529249,0.00031112,0.029129052,0.044869601
0,0.065834767,0.00137564,0.03626564,0.077430037,0.057199655,0.02322219,0.00406686,0,0.066884082,0,0.052113495,0.063471549,0.060066422,0.012443308,0.040842191,0,0.043666128,0.04131814,0.089643905,0.055115631,0.075234761,0.061658045,0.054761124,0.061890911,0.061277889,0.0625158,0.00089974,0.027739285,0.04445428
0,0.065114319,0.001861432,0.032897708,0.074956183,0.057135668,0.02044234,0.001733119,0,0.065120865,0,0.051670779,0.062884983,0.059931672,0.009880734,0.039400188,0,0.04179254,0.038956434,0.086984682,0.052781439,0.073112031,0.059432879,0.054558734,0.061636754,0.060516436,0.062349987,0.001362023,0.026235776,0.044061475
0,0.064154755,0.002214595,0.029601444,0.072050404,0.057071769,0.017820743,0.000191995,0,0.063038151,0,0.051316508,0.062105781,0.05980211,0.00761483,0.037762489,0,0.039716126,0.036453706,0.08435988,0.05017646,0.071117077,0.056909455,0.054148952,0.061268405,0.059784718,0.062031235,0.001707287,0.024634148,0.043682195
0,0.062968913,0.002445924,0.026386625,0.068759196,0.056996063,0.015356116,0.001736852,0,0.060666452,0,0.051031174,0.061141273,0.059668453,0.005629704,0.035951066,0,0.037462656,0.033833766,0.081775442,0.047334704,0.069243795,0.054121749,0.053539937,0.06078251,0.059079961,0.061558969,0.001944853,0.022950027,0.043307453
0,0.061569631,0.002566216,0.023263025,0.065129057,0.056896656,0.013047178,0.00292982,0,0.058036279,0,0.050795272,0.059998787,0.059521422,0.003909463,0.033987886,0,0.035057901,0.031120423,0.079237312,0.044290179,0.067486076,0.051103735,0.052739849,0.060175714,0.058399392,0.060932613,0.00208404,0.021199039,0.04292826
0,0.059969747,0.002586264,0.020240418,0.061206485,0.056761652,0.010892647,0.003799269,0,0.055178145,0,0.050589296,0.058685653,0.059351734,0.002438217,0.031894921,0,0.03252763,0.028337487,0.076751432,0.041076894,0.065837815,0.047889389,0.051756844,0.059444665,0.057740236,0.060151592,0.002134166,0.019396809,0.042535628
0,0.058182101,0.002516866,0.017328579,0.057037977,0.056579158,0.008891241,0.004373568,0,0.052122561,0,0.050393741,0.057209197,0.059150111,0.001200072,0.029694139,0,0.029897614,0.025508767,0.074323747,0.037728859,0.064292905,0.044512686,0.050599084,0.058586006,0.05709972,0.05921533,0.002104551,0.017558962,0.042120569
0,0.056219529,0.002368815,0.014537283,0.052670032,0.056337279,0.007041678,0.004681085,0,0.048900039,0,0.050189099,0.05557675,0.058907269,0.000179136,0.027407509,0,0.027193622,0.022658074,0.071960201,0.034280083,0.062845239,0.041007602,0.049274725,0.057596386,0.05647507,0.058123252,0.002004514,0.015701123,0.041674093
0,0.054094871,0.002152907,0.011876304,0.048149146,0.05602412,0.005342677,0.004750191,0,0.045541092,0,0.049955866,0.053795639,0.05861393,0.000640482,0.025057003,0,0.024441425,0.019809215,0.069666737,0.030764575,0.061488711,0.037408112,0.047791927,0.056472449,0.055863512,0.056874782,0.001843375,0.013838917,0.041187212
0,0.051820965,0.001879938,0.009355417,0.043521818,0.055627788,0.003792956,0.004609253,0,0.04207623,0,0.049674535,0.051873194,0.058260811,0.001274675,0.022664588,0,0.021666791,0.016986002,0.067449299,0.027216344,0.060217214,0.03374819,0.046158848,0.055210842,0.055262272,0.055469344,0.001630452,0.01198797,0.040650938
0,0.049410648,0.001560703,0.006984396,0.038834545,0.055136386,0.002391234,0.004286641,0,0.038535965,0,0.049325599,0.049816742,0.057838631,0.001739334,0.020252234,0,0.018895493,0.014212244,0.06531383,0.0236694,0.059024642,0.030061812,0.044383648,0.05380821,0.054668577,0.053906364,0.001375065,0.010163908,0.040056283
