Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
0.1670374,0.1551159,0.1394419,0.1427055,0.1831009,0.1421391,0.1369151,0.1384246,0.1507672,0.1621654,0.1418528,0.1371875,0.1504907,0.1534438,0.1298832,0.1122051,0.07413402,0.1239961,0.1337609,0.1659933,0.1416049,0.1576292,0.1539749,0.1473014,0.151922,0.1484434,0.1794286,0.07568492,0.08284692,0.09696109
0.1658101,0.1534507,0.1380667,0.1410452,0.1816459,0.140795,0.1356616,0.1369628,0.1500971,0.1609659,0.1407025,0.135861,0.1489378,0.1519779,0.1286086,0.1110293,0.07326957,0.1225759,0.132811,0.1642044,0.140069,0.1563374,0.1524885,0.1466946,0.1504644,0.1469465,0.1787535,0.07509362,0.08204481,0.09610962
0.1645945,0.1517736,0.1366661,0.1394105,0.180134,0.1394379,0.134385,0.1354921,0.149339,0.1597189,0.1395173,0.1345236,0.1473805,0.1505013,0.1273133,0.1098547,0.07243309,0.1211442,0.1318471,0.1624087,0.1385534,0.1549976,0.1509963,0.1460384,0.1489958,0.1454232,0.1780165,0.07450264,0.08123382,0.0952413
0.1633908,0.1500917,0.1352416,0.1378048,0.1785681,0.138068,0.1330854,0.1340137,0.1484825,0.1584234,0.1382974,0.1331819,0.1458268,0.1490204,0.1260032,0.1086813,0.07162045,0.1197051,0.1308648,0.1606181,0.1370618,0.1536118,0.1494997,0.1453211,0.1475224,0.1438814,0.1772023,0.07391123,0.08041543,0.09435392
0.1621959,0.1484091,0.1337913,0.1362261,0.1769479,0.1366832,0.1317606,0.1325256,0.1475189,0.1570778,0.1370408,0.1318414,0.1442828,0.1475398,0.1246824,0.107507,0.07082553,0.1182611,0.1298572,0.158842,0.135596,0.152182,0.1479988,0.1445308,0.1460491,0.1423274,0.1762944,0.07331731,0.0795903,0.09344718
0.161004,0.1467282,0.1323103,0.134668,0.1752706,0.1352792,0.1304064,0.1310233,0.1464412,0.1556787,0.1357442,0.1305052,0.1427523,0.146062,0.1233531,0.1063274,0.07004098,0.1168124,0.128815,0.1570878,0.1341562,0.1507103,0.1464928,0.1436564,0.1445793,0.1407662,0.1752771,0.07271751,0.07875822,0.09252269
0.1598081,0.1450509,0.1307928,0.1331219,0.1735318,0.1338511,0.1290178,0.1295012,0.1452449,0.154222,0.1344037,0.1291747,0.141237,0.1445878,0.1220159,0.1051374,0.06925921,0.1153585,0.127728,0.1553619,0.1327418,0.1491997,0.1449813,0.1426888,0.1431157,0.1392018,0.1741376,0.0721079,0.07791858,0.09158369
0.1586017,0.1433803,0.1292339,0.1315797,0.1717261,0.1323954,0.1275906,0.1279553,0.1439288,0.1527044,0.133016,0.1278499,0.1397381,0.1431163,0.1206711,0.1039321,0.06847325,0.1138994,0.1265866,0.1536705,0.1313518,0.1476543,0.1434651,0.1416223,0.1416606,0.1376385,0.172868,0.07148487,0.0770709,0.09063437
0.1573799,0.1417219,0.1276313,0.1300357,0.1698475,0.1309104,0.1261236,0.1263842,0.1424952,0.1511245,0.1315801,0.1265296,0.1382565,0.1416457,0.1193198,0.1027086,0.06767728,0.1124362,0.1253838,0.1520198,0.1299845,0.1460797,0.1419463,0.1404554,0.1402168,0.1360814,0.171466,0.07084587,0.07621526,0.08967905
0.1561394,0.1400833,0.1259862,0.1284861,0.1678887,0.1293974,0.1246181,0.1247901,0.14095,0.1494833,0.1300965,0.1252117,0.1367931,0.1401735,0.1179635,0.1014656,0.06686666,0.1109714,0.1241159,0.1504154,0.1286378,0.1444824,0.1404282,0.1391904,0.1387869,0.1345357,0.1699346,0.07018968,0.07535225,0.08872151
0.1548782,0.1384717,0.1243022,0.126929,0.1658423,0.1278591,0.1230781,0.1231768,0.1393016,0.1477838,0.1285669,0.1238926,0.1353485,0.1386959,0.1166039,0.1002029,0.06603749,0.1095082,0.1227823,0.148861,0.1273085,0.1428687,0.1389137,0.1378319,0.1373727,0.1330064,0.1682801,0.06951596,0.07448256,0.08776464
0.1535938,0.1368926,0.1225844,0.1253623,0.1637007,0.1262986,0.1215082,0.1215484,0.1375601,0.1460301,0.1269931,0.1225672,0.1339215,0.137208,0.1152415,0.09892087,0.0651862,0.1080485,0.121385,0.147357,0.1259921,0.1412431,0.1374041,0.1363859,0.135974,0.1314963,0.1665102,0.06882461,0.07360649,0.08681048
0.1522831,0.135348,0.1208385,0.123784,0.1614595,0.1247184,0.1199126,0.1199075,0.1357362,0.1442264,0.1253764,0.1212287,0.1325088,0.1357043,0.1138747,0.0976189,0.06430926,0.1065926,0.1199275,0.1459002,0.1246832,0.139608,0.1358988,0.1348584,0.1345885,0.1300061,0.1646333,0.06811517,0.07272362,0.08586046
0.1509431,0.1338365,0.1190702,0.1221925,0.1591186,0.1231196,0.1182944,0.1182547,0.133841,0.1423768,0.1237176,0.1198694,0.1311056,0.1341795,0.1125003,0.0962958,0.0634034,0.105139,0.1184138,0.1444841,0.1233765,0.1379634,0.134395,0.1332556,0.1332121,0.1285344,0.1626583,0.06738662,0.07183295,0.08491568
0.1495716,0.1323549,0.1172859,0.1205879,0.1566849,0.1215031,0.1166568,0.1165894,0.1318855,0.1404854,0.1220184,0.118482,0.1297066,0.1326295,0.1111142,0.09495026,0.06246612,0.103685,0.1168491,0.1431004,0.1220676,0.1363077,0.1328898,0.1315844,0.1318401,0.1270784,0.1605958,0.06663767,0.07093342,0.08397683
0.1481688,0.1309,0.1154932,0.1189731,0.1541713,0.1198697,0.1150031,0.1149117,0.1298814,0.1385574,0.1202821,0.11706,0.1283069,0.1310523,0.1097127,0.09358179,0.06149623,0.1022279,0.1152391,0.1417402,0.1207534,0.1346391,0.1313805,0.129853,0.1304683,0.1256354,0.1584584,0.06586729,0.07002447,0.08304351
