wavenumbers / centimeter^-1,absorbance / a.u.
1800.224,0.0
1799.742,0.0
1799.26,0.0
1798.778,4.490464925765644e-06
1798.296,1.0267086327075264e-05
1797.813,1.0900944471359947e-05
1797.331,5.481205880642284e-06
1796.849,0.0
1796.367,0.0
1795.885,1.8539810483168134e-05
1795.403,6.453780443372442e-05
1794.921,0.00013608383925113425
1794.439,0.0002207782861769654
1793.956,0.0002981059715375864
1793.474,0.0003448937270314166
1792.992,0.0003455446935013706
1792.51,0.0003003792459131179
1792.028,0.00022780404363135706
1791.546,0.00015542535041283834
1791.064,0.00010325915103119934
1790.582,7.855206643952485e-05
1790.1,7.832479572161648e-05
1789.617,9.718125588015561e-05
1789.135,0.00012922431237267357
1788.653,0.0001687505457522269
1788.171,0.0002116546861099123
1787.689,0.00025237953164299574
1787.207,0.0002852868554847586
1786.725,0.0003047216669621322
1786.243,0.0003066159490691979
1785.76,0.0002903689987453304
1785.278,0.00025938293735559663
1784.796,0.0002218087000730347
1784.314,0.00018628896039007276
1783.832,0.00015902167004077858
1783.35,0.00014178472382009484
1782.868,0.00013244632435472324
1782.386,0.00012574263645294056
1781.904,0.0001150826902541896
1781.421,9.60212831098324e-05
1780.939,6.938449814355464e-05
1780.457,4.2695559113098414e-05
1779.975,2.5610418472075264e-05
1779.493,2.5940078653786947e-05
1779.011,4.4993979198142825e-05
1778.529,7.861562745463575e-05
1778.047,0.00011819960283381697
1777.565,0.00015488064574792001
1777.082,0.0001831220434908576
1776.6,0.00020228211480871963
1776.118,0.00021809221882569153
1775.636,0.00023997268338400712
1775.154,0.0002763072743003532
1774.672,0.00032783825566670005
1774.19,0.00038341490229717654
1773.708,0.00042127127430044604
1773.225,0.00041689496151262745
1772.743,0.00035810892127062163
1772.261,0.00025797774665113626
1771.779,0.00014865534954277074
1771.297,6.380531572757787e-05
1770.815,2.1708576022683168e-05
1770.333,2.4990528765925918e-05
1769.851,6.589232558818631e-05
1769.369,0.00013041805083814292
1768.886,0.0002026830666831559
1768.404,0.0002652632590747425
1767.922,0.00030692594644046375
1767.44,0.00032564270821280883
1766.958,0.000330166113948014
1766.476,0.0003340515637196093
1765.994,0.0003502695870242628
1765.512,0.00038664515613389197
1765.029,0.00044372030078692476
1764.547,0.0005142837902881135
1764.065,0.0005826623970292561
1763.583,0.000630288342840242
1763.101,0.0006417184367887956
1762.619,0.0006140506777324167
1762.137,0.0005586704841457797
1761.655,0.000498403641010137
1761.173,0.00045468919399313523
1760.69,0.0004373283818700259
1760.208,0.00044573167745107917
1759.726,0.0004745411819645339
1759.244,0.0005198825934999863
1758.762,0.0005758941677728099
1758.28,0.0006351066977345853
1757.798,0.0006879666764149084
1757.316,0.0007261518052870172
1756.833,0.0007465198019841555
1756.351,0.0007526217994833356
1755.869,0.0007548653275558821
1755.387,0.0007656621221536972
1754.905,0.000797210646359096
1754.423,0.0008571905861223545
1753.941,0.0009468312872419685
1753.459,0.0010557969317848519
1752.977,0.001160849158869201
1752.494,0.0012307495466972653
1752.012,0.0012352915788839628
1751.53,0.0011604430181975656
1751.048,0.0010153541089336672
1750.566,0.0008326164845909381
1750.084,0.0006516791067849425
1749.602,0.0005015992398436815
1749.12,0.00039655161335280104
1748.637,0.00033859258755705376
1748.155,0.0003242790628980863
1747.673,0.00034753509089910893
1747.191,0.0004011475782197231
1746.709,0.0004771937637176732
1746.227,0.0005668633358370985
1745.745,0.0006622400526937675
1745.263,0.0007574593760353281
1744.781,0.00084901860165865
1744.298,0.0009383966698122206
1743.816,0.0010321556793567825
1743.334,0.0011407925670308267
1742.852,0.0012726873733607449
1742.37,0.001430134877170388
1741.888,0.0016053855433163788
1741.406,0.0017827130588037622
1740.924,0.0019399128308085559
1740.442,0.002055960252208817
1739.959,0.0021198144938824777
1739.477,0.0021391422032637705
1738.995,0.002138358001646242
1738.513,0.0021475333636416516
1738.031,0.002194012851363286
1737.549,0.0022959991645320026
1737.067,0.002461357322290428
1736.585,0.0026794665219976484
1736.102,0.0029184494545697257
1735.62,0.003121752487985711
1735.138,0.0032206831317871144
1734.656,0.003167059412576202
1734.174,0.0029794546964585326
1733.692,0.002743900837586785
1733.21,0.002541270163050271
1732.728,0.0023998646345689788
1732.246,0.002311624586582184
1731.763,0.002269259625975798
1731.281,0.0022707739284724207
1730.799,0.002314971675886247
1730.317,0.002397137582021997
1729.835,0.0025064059064016306
1729.353,0.0026298517543346354
1728.871,0.0027552748000935507
1728.389,0.0028745008254409746
1727.906,0.0029836350393698634
1727.424,0.0030821847722382473
1726.942,0.003170005669047061
1726.46,0.0032459009802879232
1725.978,0.0033070180649147907
1725.496,0.003349443505469122
1725.014,0.0033711339802222143
1724.532,0.003374382405352771
1724.05,0.0033677699870632988
1723.567,0.003363243731340969
1723.085,0.003374125276293074
1722.603,0.0034103257567586753
1722.121,0.003477207728122409
1721.639,0.003575609380701429
1721.157,0.0037027069444495048
1720.675,0.00385234623979357
1720.193,0.004009303867928964
1719.71,0.004147959144828014
1719.228,0.004232223320724371
1718.746,0.004225797166949825
1718.264,0.004111207209359435
1717.782,0.003908532762661912
1717.3,0.0036791144569117314
1716.818,0.0034887837596181623
1716.336,0.0033757714624691737
1715.854,0.0033459616614911793
1715.371,0.003388204562820886
1714.889,0.003484598283929035
1714.407,0.0036143035508860305
1713.925,0.003756447562149594
1713.443,0.0038925882680971823
1712.961,0.004010979828417749
1712.479,0.004110046445315044
1711.997,0.0041949234314654985
1711.514,0.0042737803484936415
1711.032,0.00435397278209378
1710.55,0.0044383394034733445
1710.068,0.004525472052899517
1709.586,0.0046112300702055575
1709.104,0.004691655334449353
1708.622,0.0047647045239021905
1708.14,0.004829988345727884
1707.658,0.004886143343677197
1707.175,0.004928324777716979
1706.693,0.00494821034932047
1706.211,0.004939871258977661
1705.729,0.004905592972286661
1705.247,0.0048615302106267515
1704.765,0.004833007497446876
1704.283,0.004845991968772466
1703.801,0.004923099862005478
1703.319,0.005079921517044977
1702.836,0.005322074671661046
1702.354,0.005631469316164352
1701.872,0.005960026853962949
1701.39,0.006231054733682396
1700.908,0.006364200306230021
1700.426,0.006324749453959607
1699.944,0.006153026581706855
1699.462,0.005934506612724828
1698.979,0.005736412410449265
1698.497,0.005597501895145365
1698.015,0.0055389254024826515
1697.533,0.005572106535161346
1697.051,0.005695311170547529
1696.569,0.005896024195883507
1696.087,0.00614988966319794
1695.605,0.0064198502472468805
1695.123,0.006658808965432014
1694.64,0.006829466348640005
1694.158,0.006929143913146248
1693.676,0.0069855447802552595
1693.194,0.0070373430512005244
1692.712,0.0071111428866484985
1692.23,0.007214281245842016
1691.748,0.0073378062561938635
1691.266,0.007461074221515117
1690.783,0.007564173465160501
1690.301,0.00763660425642379
1689.819,0.007684971535004172
1689.337,0.007729881744187577
1688.855,0.007798354414508754
1688.373,0.007914713828971513
1687.891,0.008093600378448803
1687.409,0.008338726314723044
1686.927,0.008641009380046586
1686.444,0.008979608437844684
1685.962,0.009315888502431993
1685.48,0.009597689921694592
1684.998,0.00977566004975846
1684.516,0.00984475298091433
1684.034,0.009860674843640255
1683.552,0.009878839331125856
1683.07,0.009903163586119961
1682.587,0.009913363402947448
1682.105,0.009916747801173898
1681.623,0.009941042253845615
1681.141,0.010014270257232782
1680.659,0.010148902220609494
1680.177,0.010340573966391105
1679.695,0.01057360388506624
1679.213,0.010830896619455258
1678.731,0.011100039502283686
1678.248,0.011378514237309758
1677.766,0.011667876133233085
1677.284,0.011963913749371256
1676.802,0.012251528484144604
1676.32,0.012503404646439661
1675.838,0.012692315952110112
1675.356,0.012804849493436347
1674.874,0.01285405496233388
1674.391,0.012869896731318387
1673.909,0.012883302160447703
1673.427,0.012918321723888692
1672.945,0.012988258433297165
1672.463,0.013096338390071589
1671.981,0.013231292591059117
1671.499,0.013374161171285731
1671.017,0.013505486939522558
1670.535,0.013618549472071174
1670.052,0.013723954670411303
1669.57,0.013843173245178128
1669.088,0.01399190729497967
1668.606,0.014162834761734296
1668.124,0.014334561303257942
1667.642,0.014487907262448977
1667.16,0.014620697069773099
1666.678,0.014743024399293994
1666.195,0.014870028830784605
1665.713,0.01501329974236345
1665.231,0.015171971004036135
1664.749,0.015331774753959554
1664.267,0.015469370185768695
1663.785,0.01556248006347875
1663.303,0.015604475233003609
1662.821,0.015610625659276667
1662.339,0.015615366063171758
1661.856,0.015648027517853824
1661.374,0.015718640367451468
1660.892,0.015818809670277108
1660.41,0.015931918768954455
1659.928,0.016041783139781843
1659.446,0.016135172414264286
1658.964,0.016207390863980566
1658.482,0.016262046432584748
1658.0,0.016311436303352054
1657.517,0.016374138499000913
1657.035,0.016471452366812786
1656.553,0.016621641142475874
1656.071,0.01683340151619194
1655.589,0.01709783749472826
1655.107,0.017379745084764364
1654.625,0.01761082108867796
1654.143,0.017704530738126067
1653.66,0.017617329114809968
1653.178,0.017420540626784015
1652.696,0.017245668021583914
1652.214,0.017106818973569943
1651.732,0.016937139423045897
1651.25,0.01671984507457206
1650.768,0.016501321380299732
1650.286,0.016334862343238707
1649.804,0.016245375254324505
1649.321,0.016226281250890037
1648.839,0.016239818927824945
1648.357,0.016232712908570927
1647.875,0.01616047205109345
1647.393,0.016027382301880902
1646.911,0.01590027164359738
1646.429,0.01585618466755053
1645.947,0.015917592324820675
1645.464,0.016037142450424063
1644.982,0.01615338451824242
1644.5,0.016228691233616126
1644.018,0.016257992476448976
1643.536,0.016257221313347493
1643.054,0.01624591502928196
1642.572,0.016240746160983144
1642.09,0.016248798347953567
1641.608,0.01626685293937536
1641.125,0.016284296583188206
1640.643,0.01628980812217508
1640.161,0.016278553992173726
1639.679,0.01625603830960012
1639.197,0.016236234638363795
1638.715,0.016234140997206357
1638.233,0.016254779077450134
1637.751,0.016285982080980352
1637.268,0.016297563980508568
1636.786,0.016254261178069544
1636.304,0.016145452871022366
1635.822,0.016007447601260997
1635.34,0.015896705868548917
1634.858,0.015839954768132446
1634.376,0.015816923132852503
1633.894,0.01579820538373818
1633.412,0.015768475676501605
1632.929,0.01573041063222222
1632.447,0.015692535577748055
1631.965,0.015660941362717097
1631.483,0.015639118584139005
1631.001,0.015626292381631702
1630.519,0.015617031281940023
1630.037,0.015601269550677529
1629.555,0.01556623875534624
1629.072,0.015501536022787702
1628.59,0.015403991130957927
1628.108,0.015283932447209395
1627.626,0.015161975728053795
1627.144,0.015059757459544597
1626.662,0.014991117095140588
1626.18,0.014956490493806682
1625.698,0.014944692471421751
1625.216,0.014933898414772256
1624.733,0.01489982874433797
1624.251,0.014824013470819124
1623.769,0.014705621854479153
1623.287,0.014563999327837973
1622.805,0.014429210846249322
1622.323,0.014324958569237163
1621.841,0.014257189922762994
1621.359,0.0142214475969847
1620.877,0.0142129650829654
1620.394,0.014234366847720361
1619.912,0.014289624050707744
1619.43,0.014377803506707788
1618.948,0.01448763248727734
1618.466,0.014593216499551795
1617.984,0.014658533848990175
1617.502,0.014650047609680576
1617.02,0.0145605009161216
1616.537,0.014420012740376301
1616.055,0.014276929899938125
1615.573,0.014170602636229723
1615.091,0.014114108580843845
1614.609,0.014105464016696566
1614.127,0.014135996467973058
1613.645,0.014196891897827163
1613.163,0.014276518087301935
1612.681,0.01435996456197778
1612.198,0.01443425241045486
1611.716,0.014491310791301549
1611.234,0.014530577185682785
1610.752,0.014557019268211565
1610.27,0.01457887179309264
1609.788,0.014603680335825549
1609.306,0.014636121998380002
1608.824,0.014679454547122009
1608.341,0.014736738308031756
1607.859,0.014810718820059209
1607.377,0.01490333882209502
1606.895,0.015013115648600393
1606.413,0.015134833893157486
1605.931,0.015259569622856333
1605.449,0.015377698550210858
1604.967,0.015482483487716296
1604.485,0.01557184386074095
1604.002,0.015650268644094467
1603.52,0.01572674510062189
1603.038,0.015811812076577565
1602.556,0.015911601399792766
1602.074,0.016025993860977934
1601.592,0.01614843294920778
1601.11,0.016270167957571215
1600.628,0.01638418416443624
1600.145,0.016488153263366313
1599.663,0.01658489529911737
1599.181,0.01667946549062442
1598.699,0.016775916953732196
1598.217,0.016874637118631734
1597.735,0.01697215774005517
1597.253,0.017063192631068983
1596.771,0.01714419159001874
1596.289,0.01721558675057906
1595.806,0.017281904340462576
1595.324,0.017348896207890117
1594.842,0.017419930015291487
1594.36,0.01749306488642119
1593.878,0.01756145373771065
1593.396,0.017616535852054006
1592.914,0.01765280897568043
1592.432,0.017670258207428725
1591.949,0.017674002096168977
1591.467,0.01767064930689066
1590.985,0.017664256680728796
1590.503,0.017653054704791622
1590.021,0.017630159042607573
1589.539,0.017586506062880494
1589.057,0.017516098048229862
1588.575,0.017419471440458655
1588.093,0.01730347332313545
1587.61,0.017177551032457137
1587.128,0.017048194024123643
