Wavenumber,Intensity
802.2422,0.1158383
809.9561,0.1095676
817.6699,0.1002053
825.3838,0.08931394
833.0977,0.07711094
840.8115,0.06772686
848.5254,0.05727915
856.2393,0.05536232
863.9531,0.06253085
871.667,0.0778687
879.3809,0.08799281
887.0947,0.1013366
894.8086,0.1214588
902.5225,0.1307783
910.2363,0.1345053
917.9502,0.1480541
925.6641,0.1630012
933.3779,0.192456
941.0918,0.2443236
948.8057,0.310425
956.5195,0.3767234
964.2334,0.4467583
971.9473,0.5131804
979.6611,0.5723907
987.375,0.6156942
995.0889,0.6743425
1002.803,0.7512702
1010.517,0.8364074
1018.23,0.8964607
1025.944,0.9753908
1033.658,0.9547511
1041.372,0.9999999
1049.086,0.9052178
1056.8,0.8084592
1064.514,0.7972682
1072.228,0.8092778
1079.941,0.778545
1087.655,0.6994604
1095.369,0.6103998
1103.083,0.5286897
1110.797,0.4744612
1118.511,0.4387459
1126.225,0.4226567
1133.938,0.4078957
1141.652,0.3992298
1149.366,0.3869587
1157.08,0.3406821
1164.794,0.2748493
1172.508,0.1977299
1180.222,0.1428118
1187.936,0.1233635
1195.649,0.1400772
1203.363,0.1814588
1211.077,0.223294
1218.791,0.2595831
1226.505,0.295758
1234.219,0.3337388
1241.933,0.3585438
1249.646,0.3669524
1257.36,0.3584092
1265.074,0.3444789
1272.788,0.3295341
1280.502,0.3209451
1288.216,0.3240739
1295.93,0.3294998
1303.644,0.3407431
1311.357,0.3599196
1319.071,0.3796948
1326.785,0.4033701
1334.499,0.4291591
1342.213,0.4433815
1349.927,0.4627242
1357.641,0.4882693
1365.354,0.5109194
1373.068,0.5194885
1380.782,0.5156453
1388.496,0.5065715
1396.21,0.5067035
1403.924,0.5225158
1411.638,0.532007
1419.352,0.5282008
1427.065,0.5024724
1434.779,0.4685364
1442.493,0.4339198
1450.207,0.4016838
1457.921,0.3684157
1465.635,0.3212392
1473.349,0.2569981
1481.063,0.2129082
1488.776,0.1953732
1496.49,0.2088402
1504.204,0.2284418
1511.918,0.2576365
1519.632,0.2829691
1527.346,0.3217117
1535.06,0.3670821
1542.773,0.4295483
1550.487,0.4908232
1558.201,0.56559
1565.915,0.6449889
1573.629,0.7497296
1581.343,0.851144
1589.057,0.9302029
1596.771,0.9737666
1604.484,0.9722158
1612.198,0.9443423
1619.912,0.9017335
1627.626,0.8566297
1635.34,0.8144156
1643.054,0.7661095
1650.768,0.7120174
1658.481,0.6428764
1666.195,0.564384
1673.909,0.4886881
1681.623,0.4105135
1689.337,0.3557363
1697.051,0.3265666
1704.765,0.3192928
1712.479,0.3292648
1720.192,0.3527094
1727.906,0.3456827
1735.62,0.3346496
1743.334,0.2867952
1751.048,0.2383434
1758.762,0.1903035
1766.476,0.1577863
1774.189,0.1300462
1781.903,0.1092241
1789.617,0.09133378
1797.331,0.07607805
