"wavenumber","intensity","File"
1465.635,0.2197505,"./Lazar_omnic_1.CSV_breakoff.csv"
1473.349,0.1361267,"./Lazar_omnic_1.CSV_breakoff.csv"
1481.063,0.08113167,"./Lazar_omnic_1.CSV_breakoff.csv"
1488.776,0.08951902,"./Lazar_omnic_1.CSV_breakoff.csv"
1496.49,0.1553933,"./Lazar_omnic_1.CSV_breakoff.csv"
1504.204,0.2084614,"./Lazar_omnic_1.CSV_breakoff.csv"
1511.918,0.2787751,"./Lazar_omnic_1.CSV_breakoff.csv"
1519.632,0.3230777,"./Lazar_omnic_1.CSV_breakoff.csv"
1527.346,0.366586,"./Lazar_omnic_1.CSV_breakoff.csv"
1535.06,0.4037046,"./Lazar_omnic_1.CSV_breakoff.csv"
1542.773,0.4386093,"./Lazar_omnic_1.CSV_breakoff.csv"
1550.487,0.4563155,"./Lazar_omnic_1.CSV_breakoff.csv"
1558.201,0.4746628,"./Lazar_omnic_1.CSV_breakoff.csv"
1565.915,0.4911889,"./Lazar_omnic_1.CSV_breakoff.csv"
1573.629,0.5438323,"./Lazar_omnic_1.CSV_breakoff.csv"
1581.343,0.6190977,"./Lazar_omnic_1.CSV_breakoff.csv"
1589.057,0.6968428,"./Lazar_omnic_1.CSV_breakoff.csv"
1596.771,0.7721707,"./Lazar_omnic_1.CSV_breakoff.csv"
1604.484,0.8299786,"./Lazar_omnic_1.CSV_breakoff.csv"
1612.198,0.8880243,"./Lazar_omnic_1.CSV_breakoff.csv"
1619.912,0.9511053,"./Lazar_omnic_1.CSV_breakoff.csv"
1627.626,0.9928814,"./Lazar_omnic_1.CSV_breakoff.csv"
1635.34,1,"./Lazar_omnic_1.CSV_breakoff.csv"
1643.054,0.9819624,"./Lazar_omnic_1.CSV_breakoff.csv"
1650.768,0.9437414,"./Lazar_omnic_1.CSV_breakoff.csv"
1658.481,0.8702503,"./Lazar_omnic_1.CSV_breakoff.csv"
1666.195,0.7728545,"./Lazar_omnic_1.CSV_breakoff.csv"
1673.909,0.665204,"./Lazar_omnic_1.CSV_breakoff.csv"
1681.623,0.5417054,"./Lazar_omnic_1.CSV_breakoff.csv"
